,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2008-06-19,19.95,20.3,19.38,19.86,18.2555560232,19623200,0.0000,1.0,20.9144,20.2104,39.0986,11.0048,12.0009,-0.4774,-0.5159,-0.0385,19.6750,-145.6003,50.0000,100.0000,20.9144,17.9462,23.8825,-488725321.4309,919123884.0000
2008-06-18,20.27,21.0,19.58,19.91,18.3015166376,26631800,0.0000,1.0,21.0628,20.4161,39.2831,11.1310,9.7056,-0.4829,-0.4020,0.0809,19.7191,-158.7523,55.0000,100.0000,21.0628,18.3560,23.7697,-489578504.0376,938747084.0000
2008-06-17,21.32,21.33,20.46,20.51,18.8530440099,17197800,0.0000,1.0,21.2177,20.6387,41.5162,10.5291,11.3078,-0.4571,-0.2555,0.2016,19.8472,-158.8719,60.0000,100.0000,21.2177,18.8242,23.6112,-475324864.6022,965378884.0000
2008-06-16,21.08,21.28,20.85,21.02,19.3218422763,15762400,0.0000,1.0,21.3735,20.8267,43.5136,7.9514,12.3797,-0.4367,-0.1208,0.3159,20.3596,-172.2906,65.0000,95.0000,21.3735,19.2226,23.5244,-460103823.2245,982576684.0000
2008-06-13,21.41,21.66,20.68,21.31,19.5884138396,17643700,0.0000,1.0,21.5293,20.9851,44.6747,6.9170,7.8996,-0.4201,0.0050,0.4251,21.0783,-196.0709,70.0000,100.0000,21.5293,19.5510,23.5077,-456804716.2457,998339084.0000
2008-06-12,21.73,22.15,21.2,21.38,19.6527586997,20649800,0.0000,1.0,21.6429,21.1321,44.9497,11.4144,3.5749,-0.3917,0.1384,0.5301,21.8349,-200.2332,75.0000,100.0000,21.6429,19.8735,23.4122,-461845773.3886,1015982784.0000
2008-06-11,22.28,22.83,21.22,21.25,19.5332611024,24985700,0.0000,1.0,21.6746,21.2878,44.3452,25.2353,9.2764,-0.3279,0.3001,0.6280,22.8659,-190.3191,80.0000,100.0000,21.6746,20.0307,23.3184,-449021160.7575,995332984.0000
2008-06-10,23.05,23.08,22.14,22.29,20.489241881,30630200,0.0000,1.0,21.6833,21.4725,48.3830,41.3887,21.3920,-0.1957,0.5143,0.7100,23.9602,-110.9627,85.0000,5.0000,21.6833,20.0838,23.2828,-424966604.8564,1020318684.0000
2008-06-09,23.92,24.25,23.21,23.69,21.7761390831,15947900,0.0000,1.0,21.6649,21.5760,54.7595,54.4720,45.0376,-0.0761,0.6828,0.7589,24.9039,14.9471,90.0000,10.0000,21.6649,20.0037,23.3262,-404112000.5962,1050948884.0000
2008-06-06,24.55,24.58,23.92,24.06,22.1162476293,19621900,0.0000,1.0,21.6116,21.5550,56.6334,61.4575,57.7364,-0.0209,0.7570,0.7779,25.3354,63.9446,95.0000,0.0000,21.6116,19.9004,23.3228,-402885239.0590,1066896784.0000
2008-06-05,25.04,25.35,24.5703,24.85,22.8424253362,20696500,0.0000,1.0,21.5146,21.4959,60.8578,68.1666,60.6418,0.0229,0.8060,0.7832,25.3734,135.5157,100.0000,5.0000,21.5146,19.7114,23.3178,-391587781.4821,1086518684.0000
2008-06-04,23.48,24.29,23.3,24.24,22.281705841,20793100,0.0000,1.0,21.3841,21.3541,58.5921,75.4862,65.9942,0.0055,0.7830,0.7775,25.0026,62.1973,45.0000,10.0000,21.3841,19.6065,23.1617,-385740097.8206,1065822184.0000
2008-06-03,24.9,24.92,23.67,23.96,22.0243264006,21017400,0.0000,1.0,21.3055,21.2565,57.5199,77.1546,77.8638,0.0231,0.7992,0.7761,24.9944,88.6730,50.0000,15.0000,21.3055,19.5548,23.0562,-404432884.6874,1045029084.0000
2008-06-02,24.7,24.99,24.43,24.8,22.7964647218,18366500,0.0000,1.0,21.2136,21.1757,62.1031,68.9051,82.6006,0.0643,0.8345,0.7703,24.7424,142.4942,55.0000,20.0000,21.2136,19.4307,22.9964,-393167558.2879,1066046484.0000
2008-05-30,24.2,24.78,24.12,24.7,22.7045434931,20756100,0.0000,1.0,21.1088,21.0051,61.7584,53.8974,70.9993,0.0347,0.7889,0.7542,23.9465,141.0531,60.0000,0.0000,21.1088,19.4699,22.7477,-399071076.1419,1047679984.0000
2008-05-29,23.59,23.63,23.09,23.52,21.6198729943,17336500,0.0000,1.0,20.9617,20.8262,57.4178,39.5305,53.1155,-0.0171,0.7285,0.7456,23.1747,55.8896,65.0000,0.0000,20.9617,19.3957,22.5278,-414795394.3217,1026923884.0000
2008-05-28,23.97,24.06,23.31,23.58,21.6750257315,18793400,0.0000,1.0,20.8252,20.7426,57.7343,30.2392,37.5774,0.0014,0.7512,0.7498,22.7546,82.1577,70.0000,0.0000,20.8252,19.0504,22.6000,-425068875.8083,1044260384.0000
2008-05-27,23.15,23.39,22.71,23.36,21.4727990283,20821400,0.0000,1.0,20.6699,20.6445,56.9067,29.9228,27.8985,0.0143,0.7637,0.7495,22.1565,52.6238,75.0000,5.0000,20.6699,18.6880,22.6517,-419806723.8079,1025466984.0000
2008-05-23,23.61,23.8,22.77,23.11,21.2429959565,20066800,0.0000,1.0,20.5058,20.5573,55.9762,36.9645,25.2417,0.0433,0.7892,0.7459,21.7693,65.8911,80.0000,0.0000,20.5058,18.2877,22.7239,-438790941.4557,1004645584.0000
2008-05-22,23.42,23.84,23.05,23.65,21.7393705916,17327700,0.0000,1.0,20.3697,20.4851,58.5716,51.9934,36.6282,0.0985,0.8336,0.7351,21.3209,92.4317,85.0000,5.0000,20.3697,18.0194,22.7201,-431972125.9200,1024712384.0000
2008-05-21,23.35,24.24,23.04,23.09,21.2246117108,26666500,0.0000,1.0,20.1997,20.3531,56.5886,68.6278,49.0236,0.1171,0.8276,0.7105,20.6622,94.7140,90.0000,10.0000,20.1997,17.7792,22.6202,-440964982.8806,1007384684.0000
2008-05-20,23.25,23.52,23.01,23.28,21.3992620453,19285100,0.0000,1.0,20.0779,20.2613,57.4753,78.7736,70.3284,0.1791,0.8603,0.6812,19.9688,90.6605,95.0000,0.0000,20.0779,17.6310,22.5248,-416520691.2159,1034051184.0000
2008-05-19,24.44,25.31,23.73,23.9,21.9691736634,28963300,0.0000,1.0,19.9042,20.1415,60.4098,72.8557,86.5313,0.2353,0.8717,0.6364,19.4738,158.3313,100.0000,0.0000,19.9042,17.3655,22.4428,-417655108.8582,1053336284.0000
2008-05-16,24.15,24.46,23.63,24.41,22.4379719298,27288900,0.0000,1.0,19.7189,19.9491,62.9202,54.8935,79.4611,0.2380,0.8156,0.5776,18.4866,165.5823,100.0000,0.0000,19.7189,17.2710,22.1669,-394924417.7183,1082299584.0000
2008-05-15,22.02,23.88,21.92,23.78,21.8588681889,29136600,0.0000,1.0,19.4712,19.6872,61.0192,41.4000,52.5747,0.1663,0.6844,0.5181,17.7178,124.1762,100.0000,0.0000,19.4712,17.1761,21.7664,-418925498.4384,1055010684.0000
2008-05-14,21.71,22.64,21.44,22.07,20.2870151779,18778700,0.0000,1.0,19.2322,19.4586,55.0810,40.4500,32.6446,0.0894,0.5660,0.4765,17.1093,68.2824,85.0000,5.0000,19.2322,16.9864,21.4780,-445088975.9899,1025874084.0000
2008-05-13,22.0,22.0,21.28,21.44,19.7079114369,21352700,0.0000,1.0,19.0838,19.3713,52.5512,48.7492,38.9807,0.1124,0.5666,0.4542,16.9559,48.8277,90.0000,0.0000,19.0838,16.7459,21.4217,-446027910.9910,1007095384.0000
2008-05-12,22.82,22.82,21.67,21.89,20.1215569662,25166300,0.0000,1.0,18.9312,19.3359,54.6394,58.8250,49.7245,0.1921,0.6182,0.4261,17.0831,86.0730,95.0000,5.0000,18.9312,16.3869,21.4755,-434165299.8763,1028448084.0000
