,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2015-11-18,78.25,78.31,76.15,77.69,77.69,16730971,0.0000,1.0,80.2185,78.3138,53.6022,39.1212,27.1687,-1.1045,1.7713,2.8757,21.5513,-60.7465,0.0000,55.0000,80.2185,87.6281,72.8089,-299029878.4802,130377407.0000
2015-11-17,78.9,79.14,77.47,78.13,78.13,12469836,0.0000,1.0,79.8080,78.3794,54.4454,25.9548,17.6063,-1.0911,2.0608,3.1519,22.6638,-29.2414,5.0000,60.0000,79.8080,88.5265,71.0895,-306156032.7950,147108378.0000
2015-11-16,75.83,78.75,75.77,78.3,78.3,17041841,0.0000,1.0,79.4910,78.4057,54.7616,16.4302,15.0922,-1.0691,2.3555,3.4246,23.5467,-32.2430,10.0000,65.0000,79.4910,88.8668,70.1152,-303542594.1124,159578214.0000
2015-11-13,77.15,78.0,75.64,75.85,75.85,24223719,0.0000,1.0,79.2085,78.4168,50.8539,10.4339,16.9678,-1.0118,2.6801,3.6919,24.5531,-43.4575,15.0000,70.0000,79.2085,89.0402,69.3768,-315437570.3809,142536373.0000
2015-11-12,78.99,80.5,78.45,78.76,78.76,18831327,0.0000,1.0,79.0155,78.6870,56.3458,18.4125,24.1112,-0.6400,3.3049,3.9449,25.7594,3.8532,20.0000,75.0000,79.0155,89.2468,68.7842,-295524852.2198,166760092.0000
2015-11-11,82.28,82.49,78.12,79.85,79.85,29636606,0.0000,1.0,78.6665,78.6793,58.5976,22.0569,33.7237,-0.3468,3.7580,4.1049,26.4085,21.5704,0.0000,80.0000,78.6665,89.3739,67.9591,-282388853.3857,185591419.0000
2015-11-10,81.1,82.43,79.62,81.43,81.43,21987573,0.0000,1.0,78.1010,78.5561,62.0103,31.8643,50.6888,-0.0208,4.1707,4.1916,27.0917,39.4064,5.0000,85.0000,78.1010,89.6595,66.5425,-276217386.2324,215228025.0000
2015-11-09,83.44,83.47,80.22,81.38,81.38,19084140,0.0000,1.0,77.5135,78.2536,61.9437,47.2500,67.1675,0.2792,4.4759,4.1968,27.4575,50.7519,10.0000,90.0000,77.5135,89.5212,65.5058,-282555441.0829,193240452.0000
2015-11-06,85.53,86.35,80.77,83.61,83.61,38523836,0.0000,1.0,76.9595,77.9245,66.9165,72.9521,80.7321,0.6785,4.8055,4.1270,27.6969,78.6951,0.0000,95.0000,76.9595,89.2222,64.6968,-277094441.0214,212324592.0000
2015-11-05,85.22,86.42,84.2,85.38,85.38,20639712,0.0000,1.0,76.2145,77.3260,71.2282,81.3004,85.4662,0.9718,4.9291,3.9574,27.8166,108.8895,0.0000,100.0000,76.2145,88.5805,63.8485,-277784832.3475,250848428.0000
2015-11-04,84.45,85.6,84.03,85.4,85.4,23716378,0.0000,1.0,75.3305,76.4782,71.2775,87.9438,89.5244,1.1207,4.8351,3.7144,27.0322,120.0411,0.0000,100.0000,75.3305,87.4751,63.1859,-279086435.8070,271488140.0000
2015-11-03,84.0,84.59,83.13,83.44,83.44,11640252,0.0000,1.0,74.3745,75.5391,69.2992,87.1545,91.7942,1.2084,4.6426,3.4342,26.3041,121.7768,0.0000,95.0000,74.3745,86.2041,62.5449,-296760424.5076,247771762.0000
2015-11-02,83.52,84.83,82.75,84.35,84.35,13824530,0.0000,1.0,73.3985,74.7074,71.4704,93.4748,92.3773,1.3969,4.5291,3.1321,25.6600,144.9423,0.0000,100.0000,73.3985,85.2960,61.5010,-290063293.2200,259412014.0000
2015-10-30,82.7,84.44,82.6,83.83,83.83,20740519,0.0000,1.0,72.3775,73.6924,70.9768,94.7534,90.0964,1.4426,4.2256,2.7829,24.9820,168.8833,0.0000,100.0000,72.3775,83.8372,60.9178,-297507270.9123,245587484.0000
2015-10-29,81.97,82.53,80.82,82.22,82.22,16418896,0.0000,1.0,71.3460,72.6253,69.4205,88.9038,87.5472,1.4074,3.8297,2.4223,24.3132,168.9008,5.0000,90.0000,71.3460,82.1941,60.4979,-304495924.0536,224846965.0000
2015-10-28,79.48,82.545,79.2001,82.35,82.35,25015402,0.0000,1.0,70.1785,71.6153,69.7072,86.6321,83.4269,1.3622,3.4326,2.0704,23.8359,181.5765,10.0000,95.0000,70.1785,81.1198,59.2372,-314961770.0419,241265861.0000
2015-10-27,82.11,82.79,78.25,79.44,79.44,50798635,0.0000,1.0,69.0095,70.4853,66.7903,87.1058,71.7267,1.1328,2.8626,1.7299,23.3335,178.8587,0.0000,100.0000,69.0095,79.4853,58.5337,-337060490.8915,216250459.0000
2015-10-26,75.44,77.42,75.13,76.35,76.35,24819715,0.0000,1.0,67.9285,69.5427,63.2175,76.5429,56.7875,0.9431,2.3897,1.4467,22.8046,131.0854,5.0000,100.0000,67.9285,78.3376,57.5194,-312891977.3232,165451824.0000
2015-10-23,73.98,75.76,72.84,75.62,75.62,22510817,0.0000,1.0,66.9805,68.8262,62.3075,51.5312,49.7982,0.8552,2.0661,1.2109,22.9487,116.0224,10.0000,100.0000,66.9805,77.6004,56.3606,-314517722.8472,140632109.0000
2015-10-22,70.16,71.63,70.07,70.99,70.99,10800667,0.0000,1.0,66.1615,68.1110,55.7036,42.2883,57.9273,0.7001,1.6972,0.9971,23.3627,70.1077,15.0000,80.0000,66.1615,76.5130,55.8100,-334869968.3541,118121292.0000
2015-10-21,71.66,71.79,68.89,69.48,69.48,16859477,0.0000,1.0,65.6080,67.8080,53.1611,55.5751,71.0152,0.8511,1.6732,0.8221,24.5711,64.5165,20.0000,85.0000,65.6080,76.0510,55.1650,-336808549.6105,107320625.0000
2015-10-20,72.99,73.0,71.55,71.79,71.79,11093433,0.0000,1.0,65.1340,67.6320,57.9992,75.9185,76.6893,1.1626,1.7719,0.6093,25.8431,100.0961,25.0000,90.0000,65.1340,75.6910,54.5770,-326809135.6656,124180102.0000
2015-10-19,71.8,73.0,71.522,72.65,72.65,10886932,0.0000,1.0,64.6395,67.1943,59.9282,81.5522,77.0908,1.3182,1.6369,0.3187,26.5918,117.5755,30.0000,95.0000,64.6395,74.8230,54.4560,-319388011.5208,135273535.0000
