,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2007-09-12,135.99,139.4,135.75,136.85,4.20937160031,36527500,0.0000,1.0,4.0484,4.1172,53.7721,49.9642,34.6263,0.0502,0.0123,0.0379,14.9233,71.6729,75.0000,10.0000,3.6307,4.4660,4.0484,26719216430.0842,69727304905.0000
2007-09-11,137.9,138.3,133.75,135.49,4.16753933596,34710200,0.0000,1.0,4.0286,4.1075,52.8161,29.3981,26.3587,0.0482,0.0134,0.0348,15.4528,58.8657,80.0000,15.0000,3.6061,4.4512,4.0286,27125522726.4502,68704533883.0000
2007-09-10,137.0,138.04,133.95,136.71,4.2050653378,53137100,0.0000,1.0,4.0168,4.1012,53.7636,24.5167,33.9026,0.0492,0.0177,0.0314,16.1049,68.4470,85.0000,20.0000,3.5972,4.4364,4.0168,27354076271.6567,69676420454.0000
2007-09-07,132.01,132.3,130.0,131.77,4.05311578935,51092000,0.0000,1.0,3.9988,4.0903,50.3364,25.1612,50.9624,0.0459,0.0189,0.0270,16.8131,16.5949,90.0000,25.0000,3.5821,4.4155,3.9988,26833877833.9880,68188580167.0000
2007-09-06,135.57,137.57,132.71,135.01,4.15277500736,67902200,0.0000,1.0,3.9905,4.0942,52.7738,52.0298,72.0844,0.0566,0.0343,0.0223,17.3338,62.6430,95.0000,30.0000,3.5719,4.4091,3.9905,26062610002.1901,69619157597.0000
2007-09-05,144.97,145.84,136.1,136.76,4.2066032887,83150800,0.0000,1.0,3.9890,4.0880,54.1184,75.6961,83.5237,0.0592,0.0454,0.0137,18.1079,116.8031,100.0000,35.0000,3.5726,4.4054,3.9890,26164323687.4874,71520421098.0000
2007-09-04,139.94,145.73,139.84,144.16,4.4342200212,47030100,0.0000,1.0,3.9863,4.0756,60.2891,88.5274,77.2030,0.0562,0.0538,0.0024,18.9021,170.3206,100.0000,40.0000,3.5749,4.3978,3.9863,28177018986.1944,73848645826.0000
2007-08-31,139.49,139.65,137.41,138.48,4.25950879949,31317400,0.0000,1.0,3.9726,4.0378,56.6879,86.3475,66.1052,0.0284,0.0394,-0.0111,19.3872,130.5036,100.0000,45.0000,3.6059,4.3393,3.9726,27562193634.9104,72531801710.0000
2007-08-30,132.67,138.25,132.3,136.25,4.19091618957,51270800,0.0000,1.0,3.9624,4.0145,55.1717,56.7342,57.3218,0.0102,0.0312,-0.0209,20.3897,99.7672,100.0000,50.0000,3.6175,4.3074,3.9624,27601340424.1426,71654913634.0000
2007-08-29,129.88,134.18,129.54,134.08,4.12416912071,41673600,0.0000,1.0,3.9628,3.9959,53.6725,55.2341,67.4134,-0.0061,0.0227,-0.0287,21.3134,55.7683,20.0000,55.0000,3.6169,4.3087,3.9628,27130854965.5855,70219329799.0000
2007-08-28,130.99,132.41,126.63,126.82,3.90085865072,42120200,0.0000,1.0,3.9642,3.9824,48.1624,59.9971,80.2914,-0.0200,0.0144,-0.0344,21.8863,-2.0451,0.0000,60.0000,3.6154,4.3130,3.9642,26014288773.9735,69052467833.0000
2007-08-27,133.3907,134.66,132.1,132.25,4.06788011795,25265700,0.0000,1.0,3.9718,3.9910,52.6083,87.0091,90.7432,-0.0147,0.0233,-0.0380,22.3066,52.9642,0.0000,65.0000,3.6223,4.3213,3.9718,27116119328.7741,70231834612.0000
2007-08-24,130.53,135.37,129.81,135.3,4.16169512256,32565500,0.0000,1.0,3.9859,3.9829,55.3340,93.8678,90.0065,-0.0248,0.0190,-0.0438,23.2100,49.2708,0.0000,70.0000,3.6010,4.3709,3.9859,27740656474.7246,70939274919.0000
2007-08-23,133.09,133.34,129.76,131.07,4.03158447682,30958500,0.0000,1.0,3.9991,3.9640,52.0616,91.3527,82.5413,-0.0468,0.0017,-0.0486,24.1609,13.9167,5.0000,75.0000,3.5750,4.4231,3.9991,26851781435.5488,70027440008.0000
2007-08-22,131.22,132.75,130.33,132.51,4.0758774626,37920200,0.0000,1.0,4.0220,3.9569,53.3251,84.7991,69.0969,-0.0611,-0.0120,-0.0490,24.9667,11.1627,10.0000,80.0000,3.5468,4.4973,4.0220,27084229846.4737,70894278874.0000
2007-08-21,122.21,128.96,121.0,127.57,3.92392791415,46537400,0.0000,1.0,4.0293,3.9444,49.3164,71.4721,50.9841,-0.0828,-0.0368,-0.0460,25.7586,-52.1858,15.0000,85.0000,3.5466,4.5121,4.0293,26233061531.5374,69832512213.0000
2007-08-20,123.96,124.5,120.5,122.22,3.75936716836,28689900,0.0000,1.0,4.0406,3.9466,44.4037,51.0195,33.2737,-0.0939,-0.0571,-0.0368,26.2227,-93.3508,20.0000,90.0000,3.5577,4.5235,4.0406,25385097807.2336,68529463710.0000
2007-08-17,122.01,123.5,119.82,122.06,3.75444572549,42680800,0.0000,1.0,4.0736,3.9663,44.2502,30.4607,23.8907,-0.0900,-0.0674,-0.0225,26.2381,-113.4460,25.0000,95.0000,3.5819,4.5654,4.0736,25497562327.6092,67726145707.0000
2007-08-16,117.01,118.5,111.62,117.05,3.60034304579,66667500,0.0000,1.0,4.1070,3.9886,39.2609,18.3410,24.2354,-0.0831,-0.0775,-0.0057,26.1441,-195.0731,30.0000,100.0000,3.6159,4.5981,4.1070,25237765894.0604,66531082112.0000
2007-08-15,122.74,124.86,119.65,119.9,3.68800624682,35459000,0.0000,1.0,4.1423,4.0294,41.2562,22.8706,27.3061,-0.0575,-0.0712,0.0137,25.4665,-166.4340,35.0000,100.0000,3.7032,4.5814,4.1423,24157906355.2457,68397773978.0000
2007-08-14,128.29,128.3,123.71,124.03,3.81504099077,26393100,0.0000,1.0,4.1703,4.0654,44.3599,31.4947,31.0509,-0.0329,-0.0644,0.0315,25.2371,-144.9297,40.0000,90.0000,3.7822,4.5585,4.1703,25055475950.6571,69390626970.0000
2007-08-13,128.33,129.35,126.5,127.79,3.93069489809,26889700,0.0000,1.0,4.1932,4.0917,47.4471,27.5531,37.3565,-0.0139,-0.0615,0.0476,25.2840,-129.2531,45.0000,95.0000,3.8390,4.5473,4.1932,25691441044.1250,70129634509.0000
2007-08-10,123.12,127.75,120.3,125.0,3.84487723813,50383900,0.0000,1.0,4.2090,4.1087,44.7360,34.1049,49.0774,-0.0012,-0.0642,0.0629,25.5470,-207.5967,50.0000,100.0000,3.8755,4.5426,4.2090,25762769582.6975,69376722157.0000
2007-08-09,131.11,133.0,125.09,126.39,3.88763227302,40192700,0.0000,1.0,4.2286,4.1365,45.8556,50.4113,54.0817,0.0237,-0.0553,0.0790,25.6332,-179.5237,55.0000,100.0000,3.9400,4.5173,4.2286,25393512711.6493,70787472767.0000
2007-08-08,136.76,136.86,132.0,134.01,4.12201598946,28860600,0.0000,1.0,4.2404,4.1626,52.7285,62.7158,49.7133,0.0508,-0.0420,0.0928,26.0993,-71.5065,60.0000,75.0000,3.9920,4.4888,4.2404,26148993951.8671,71912869492.0000
2007-08-07,134.94,137.24,132.63,135.0301,4.15339326362,33926300,0.0000,1.0,4.2379,4.1669,53.7531,49.1178,39.7514,0.0608,-0.0426,0.1033,27.2354,-54.5470,65.0000,80.0000,3.9839,4.4920,4.2379,26288665143.3706,72720967100.0000
2007-08-06,132.9,135.27,128.3,135.25,4.16015717166,33041800,0.0000,1.0,4.2338,4.1683,53.9678,37.3062,31.9113,0.0694,-0.0445,0.1140,28.4964,-88.7951,70.0000,85.0000,3.9719,4.4958,4.2338,26249472500.5048,73670904449.0000
2007-08-03,135.26,135.95,131.5,131.8499,4.05557343488,24256700,0.0000,1.0,4.2263,4.1692,51.0979,32.8300,28.9040,0.0788,-0.0463,0.1251,29.6066,-81.3715,75.0000,90.0000,3.9480,4.5045,4.2263,25329610623.5842,72745733124.0000
2007-08-02,136.65,136.96,134.15,136.49,4.19829835386,30451600,0.0000,1.0,4.2270,4.1812,55.5913,25.5977,30.8875,0.1002,-0.0364,0.1367,31.0953,-27.9376,80.0000,95.0000,3.9503,4.5036,4.2270,25901990822.2583,73424921403.0000
2007-08-01,133.64,135.38,127.77,135.0,4.15246741719,62505600,0.0000,1.0,4.2212,4.1794,54.3672,28.2843,44.3040,0.1116,-0.0342,0.1458,32.5183,-77.9952,85.0000,0.0000,3.9377,4.5047,4.2212,25334571829.7480,72572275751.0000
2007-07-31,142.97,143.48,131.52,131.76,4.05280819917,62942600,0.0000,1.0,4.2092,4.1822,51.6118,38.7807,54.4699,0.1292,-0.0251,0.1543,34.1771,-19.3341,90.0000,0.0000,3.8961,4.5222,4.2092,23759199153.2749,70822117201.0000
2007-07-30,144.33,145.45,139.57,141.43,4.35024790231,39535300,0.0000,1.0,4.1930,4.1958,62.2731,65.8471,54.5826,0.1599,-0.0007,0.1606,35.5118,81.4138,95.0000,5.0000,3.8215,4.5645,4.1930,25450862161.0154,72584511763.0000
2007-07-27,146.19,148.92,143.78,143.85,4.42468472564,41467800,0.0000,1.0,4.1632,4.1796,65.4894,58.7820,45.7691,0.1665,0.0057,0.1608,35.8437,127.3653,100.0000,10.0000,3.7532,4.5732,4.1632,25857511367.3361,73691501269.0000
2007-07-26,145.87,148.5,136.96,146.0,4.49081661414,78093900,0.0000,1.0,4.1274,4.1538,68.4742,39.1187,46.7133,0.1649,0.0055,0.1594,35.4950,117.7583,100.0000,0.0000,3.6907,4.5640,4.1274,26986985648.5133,74852600830.0000
2007-07-25,137.35,138.36,135.0,137.26,4.22198279765,53435100,0.0000,1.0,4.0903,4.1183,61.7399,39.4067,63.1495,0.1537,-0.0043,0.1580,35.1577,48.2827,90.0000,0.0000,3.6575,4.5231,4.0903,25747768207.8997,72665969444.0000
2007-07-24,138.88,141.0,134.15,134.8899,4.14908084931,64117600,0.0000,1.0,4.0632,4.1074,59.5118,61.6145,78.6066,0.1646,0.0055,0.1591,35.6920,51.9625,95.0000,5.0000,3.6000,4.5264,4.0632,25231228391.5614,71169785148.0000
2007-07-23,143.31,145.22,140.93,143.7,4.42007087296,37017500,0.0000,1.0,4.0439,4.1030,74.9187,88.4274,85.8767,0.1835,0.0258,0.1577,36.2544,124.8881,100.0000,10.0000,3.5647,4.5231,4.0439,26638686936.8171,72965079743.0000
2007-07-20,141.65,144.18,140.0,143.75,4.42160882385,41706200,0.0000,1.0,4.0121,4.0696,75.0234,85.7780,83.7698,0.1773,0.0261,0.1513,35.4459,129.5691,100.0000,15.0000,3.5529,4.4712,4.0121,26336679059.1204,74001570779.0000
2007-07-19,140.3,140.81,139.65,140.0,4.30626250671,26174700,0.0000,1.0,3.9815,4.0325,72.2608,83.4246,85.1215,0.1668,0.0220,0.1447,34.6763,116.8422,100.0000,20.0000,3.5554,4.4077,3.9815,25409164172.4331,72833796012.0000
2007-07-18,138.19,138.44,136.04,138.12,4.24843555305,27030600,0.0000,1.0,3.9532,4.0037,70.7184,82.1069,87.7892,0.1626,0.0233,0.1392,34.1536,101.7381,90.0000,25.0000,3.5419,4.3644,3.9532,25699793890.1642,72100903680.0000
2007-07-17,138.3,139.6,137.5,138.9099,4.27273210129,25355700,0.0000,1.0,3.9309,3.9780,72.3236,89.8331,88.7310,0.1608,0.0274,0.1334,33.8330,128.3595,95.0000,30.0000,3.5383,4.3236,3.9309,25144765015.7778,72857761236.0000
2007-07-16,138.39,139.98,137.5,138.1,4.24782037269,33432600,0.0000,1.0,3.9097,3.9469,71.6978,91.4276,85.4073,0.1537,0.0271,0.1266,33.1388,148.7429,100.0000,35.0000,3.5486,4.2708,3.9097,24901417668.0459,72147800927.0000
2007-07-13,135.03,137.85,134.52,137.73,4.23643953607,32414500,0.0000,1.0,3.8826,3.9153,71.4174,84.9323,80.0100,0.1449,0.0251,0.1198,32.4080,152.2936,100.0000,0.0000,3.5467,4.2185,3.8826,25384573144.7385,71211687191.0000
2007-07-12,133.85,134.24,132.39,134.0699,4.12385845463,25164600,0.0000,1.0,3.8534,3.8815,68.4820,79.8620,79.9899,0.1327,0.0192,0.1135,31.8283,134.8364,90.0000,0.0000,3.5452,4.1616,3.8534,24542379348.0029,70304080284.0000
2007-07-11,132.07,133.7,131.31,132.39,4.07218638045,29349000,0.0000,1.0,3.8279,3.8559,67.0046,75.2356,83.3187,0.1267,0.0180,0.1087,31.5840,142.6568,95.0000,5.0000,3.5293,4.1266,3.8279,23967341818.8333,69599470780.0000
2007-07-10,128.88,134.5,128.81,132.35,4.07095601974,44821700,0.0000,1.0,3.8095,3.8332,66.9695,84.8720,90.2577,0.1225,0.0183,0.1042,31.3863,161.7674,100.0000,10.0000,3.5283,4.0906,3.8095,24046424559.0652,68777697959.0000
2007-07-09,132.38,132.9,129.18,130.3301,4.00882587947,35565000,0.0000,1.0,3.7908,3.8082,65.1973,89.8484,89.0416,0.1155,0.0158,0.0997,31.1782,177.1487,95.0000,15.0000,3.5329,4.0486,3.7908,23739840673.4877,67522689104.0000
2007-07-06,133.13,133.34,130.4,132.3,4.06941806884,31239100,0.0000,1.0,3.7818,3.7870,68.6078,96.0526,81.0254,0.1111,0.0154,0.0957,31.1290,249.8131,100.0000,20.0000,3.5431,4.0204,3.7818,24119912353.2547,68518510099.0000
2007-07-05,128.8,132.97,128.69,132.75,4.0832596269,51894700,0.0000,1.0,3.7691,3.7573,69.3957,81.2237,63.3535,0.0978,0.0059,0.0919,30.8164,291.0728,100.0000,25.0000,3.5691,3.9691,3.7691,23864048992.8145,69393205773.0000
2007-07-03,122.0,127.4,121.5,127.17,3.91162430699,41517200,0.0000,1.0,3.7551,3.7230,64.6083,65.7999,50.8089,0.0779,-0.0124,0.0904,30.5235,130.0686,10.0000,30.0000,3.6147,3.8955,3.7551,22560375225.6493,67940152720.0000
2007-07-02,121.05,122.09,119.3,121.26,3.72983851117,35530800,0.0000,1.0,3.7482,3.7031,57.9973,43.0369,39.2366,0.0690,-0.0245,0.0935,30.8351,-46.8995,15.0000,35.0000,3.6270,3.8693,3.7482,21488526712.9135,66777669958.0000
2007-06-29,121.97,124.0,121.09,122.04,3.75383054514,40637200,0.0000,1.0,3.7483,3.7003,59.3882,43.5897,36.1616,0.0750,-0.0246,0.0996,31.9626,19.8488,20.0000,40.0000,3.6272,3.8694,3.7483,21085589209.2579,67772533352.0000
2007-06-28,122.36,122.49,120.0,120.56,3.70830719864,29933700,0.0000,1.0,3.7427,3.6947,57.5533,31.0832,33.0529,0.0792,-0.0266,0.1058,32.7522,-29.8464,25.0000,45.0000,3.6131,3.8723,3.7427,21480510571.5485,66634690615.0000
