,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2018-02-20,11.72,12.19,11.71,12.02,12.02,46430056,0.0000,1.0,12.2840,12.0280,50.7340,69.0002,51.6818,0.0423,-0.0621,-0.0198,17.1502,-33.8343,70.0000,35.0000,13.6946,12.2840,10.8734,-1952195044.3171,1692208736.0000
2018-02-16,12.11,12.23,11.82,11.82,11.82,45980623,0.0000,1.0,12.3155,12.0288,49.0416,81.4041,67.9841,0.0578,-0.0824,-0.0246,17.4061,-38.9285,75.0000,40.0000,13.7292,12.3155,10.9018,-1965737143.9838,1645778680.0000
2018-02-15,12.4,12.63,12.07,12.19,12.19,57497914,0.0000,1.0,12.3540,12.0508,52.1926,82.8648,87.3345,0.0784,-0.0884,-0.0100,17.7635,-6.8004,80.0000,45.0000,13.7535,12.3540,10.9545,-1919756520.9838,1691759303.0000
2018-02-14,11.72,12.31,11.63,12.2,12.2,51529646,0.0000,1.0,12.3680,12.0361,52.2789,69.3270,88.8936,0.1005,-0.1294,-0.0289,18.3412,-34.2117,85.0000,50.0000,13.7663,12.3680,10.9697,-1886900570.1266,1749257217.0000
2018-02-13,11.6,11.82,11.53,11.78,11.78,32126468,0.0000,1.0,12.3670,12.0189,48.9105,48.6414,72.3664,0.1329,-0.1864,-0.0536,18.6404,-70.3320,90.0000,55.0000,13.7658,12.3670,10.9682,-1921758860.0678,1697727571.0000
2018-02-12,11.47,11.8,11.43,11.68,11.68,62695580,0.0000,1.0,12.3735,12.0440,48.0815,31.3300,46.7211,0.1795,-0.2210,-0.0415,18.4397,-81.5980,95.0000,60.0000,13.7625,12.3735,10.9845,-1945022854.1368,1665601103.0000
2018-02-09,11.54,11.57,10.63,11.31,11.31,83500016,0.0000,1.0,12.3905,12.0823,44.9416,23.4896,26.8367,0.2348,-0.2501,-0.0154,18.2066,-139.0147,100.0000,65.0000,13.7532,12.3905,11.0278,-1967051030.8935,1602905523.0000
2018-02-08,11.72,11.85,11.21,11.22,11.22,54139669,0.0000,1.0,12.4320,12.1636,44.1612,19.8755,20.4322,0.2973,-0.2414,0.0559,17.7131,-126.5739,85.0000,70.0000,13.7084,12.4320,11.1556,-2004359548.6807,1519405507.0000
2018-02-07,11.7,11.9,11.53,11.6,11.6,55325484,0.0000,1.0,12.4690,12.2630,46.8232,21.3477,23.1998,0.3577,-0.2025,0.1552,17.5796,-103.2348,90.0000,75.0000,13.6413,12.4690,11.2967,-1951911744.3370,1573545176.0000
2018-02-06,11.04,11.74,11.0,11.65,11.65,85817061,0.0000,1.0,12.4800,12.3328,47.1787,29.7742,15.9946,0.4083,-0.1673,0.2410,17.6742,-134.7905,95.0000,80.0000,13.6233,12.4800,11.3367,-1917520227.2559,1628870660.0000
2018-02-05,12.05,12.18,10.93,11.57,11.57,110561931,0.0000,1.0,12.5115,12.4046,46.5620,45.7600,24.8486,0.4501,-0.1081,0.3419,17.6071,-136.6561,100.0000,85.0000,13.5947,12.5115,11.4283,-1982462868.0127,1543053599.0000
2018-02-02,13.05,13.06,12.43,12.45,12.45,76774701,0.0000,1.0,12.5270,12.4925,53.0319,62.7653,48.4795,0.4771,-0.0032,0.4739,17.5365,18.0587,20.0000,90.0000,13.5638,12.5270,11.4902,-1985116354.3567,1653615530.0000
2018-02-01,13.62,13.84,13.21,13.25,13.25,66528817,0.0000,1.0,12.5105,12.4970,60.2638,71.1703,63.9520,0.4779,0.0680,0.5459,18.1725,136.4125,0.0000,95.0000,13.5620,12.5105,11.4590,-1913216237.5471,1730390231.0000
2018-01-31,13.24,13.85,13.15,13.74,13.74,139842965,0.0000,1.0,12.4255,12.4177,65.4579,70.4737,75.8644,0.4609,0.0875,0.5484,17.8725,175.5748,0.0000,100.0000,13.4988,12.4255,11.3522,-1855135524.2932,1796919048.0000
2018-01-30,13.12,13.27,12.69,12.87,12.87,65116734,0.0000,1.0,12.2875,12.2785,59.5820,63.0581,73.6947,0.4390,0.0546,0.4937,17.5566,98.5623,0.0000,95.0000,13.3590,12.2875,11.2160,-1951027843.1503,1657076083.0000
2018-01-29,13.13,13.47,13.05,13.32,13.32,65821254,0.0000,1.0,12.1580,12.2162,65.0166,57.3228,61.8622,0.4254,0.0799,0.5052,17.7562,154.0589,5.0000,100.0000,13.5068,12.1580,10.8092,-1926328392.3227,1722192817.0000
2018-01-26,12.7,12.95,12.62,12.95,12.95,43419449,0.0000,1.0,12.0195,12.1001,62.3330,62.9066,53.6175,0.4054,0.0614,0.4668,17.4575,108.0899,10.0000,90.0000,13.4300,12.0195,10.6090,-1945134464.8942,1656371563.0000
2018-01-25,12.78,12.94,12.32,12.41,12.41,41679690,0.0000,1.0,11.8985,12.0106,57.8499,72.4527,56.4887,0.3901,0.0587,0.4487,17.6750,78.7164,15.0000,95.0000,13.3823,11.8985,10.4147,-1988553913.8942,1612952114.0000
2018-01-24,13.02,13.05,12.6,12.71,12.71,41540864,0.0000,1.0,11.8010,11.9685,61.7273,78.9552,78.6137,0.3754,0.0986,0.4740,17.9150,104.5089,0.0000,100.0000,13.3900,11.8010,10.2120,-1958974779.0555,1654631804.0000
