,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2004-04-01,26.69,26.97,25.27,25.93,7.94506217464,10995900,0.0000,1.0,6.9998,7.2541,65.1795,84.5527,90.1150,0.1182,0.1581,0.2764,17.9187,142.4242,35.0000,100.0000,5.8711,6.9998,8.1286,-499873436.4166,104161311.0000
2004-03-31,26.29,26.68,26.15,26.4,8.08907217164,5039600,0.0000,1.0,6.9450,7.1814,68.5108,93.4763,92.5758,0.0787,0.1699,0.2486,17.3997,192.9971,40.0000,100.0000,5.9019,6.9450,7.9880,-492499719.0397,137148994.0000
2004-03-30,25.235,26.28,25.21,26.16,8.0155351519,6041300,0.0000,1.0,6.8756,7.0858,67.7102,92.3161,90.8963,0.0362,0.1587,0.1949,16.1177,222.6861,45.0000,100.0000,5.9707,6.8756,7.7804,-491643938.3603,122030202.0000
2004-03-29,24.66,25.73,24.65,25.4,7.78266792271,8214700,0.0000,1.0,6.8143,6.9880,65.0361,91.9349,85.2626,-0.0035,0.1345,0.1311,14.9202,255.2490,50.0000,100.0000,6.0758,6.8143,7.5527,-505702656.7716,103906312.0000
2004-03-26,24.35,24.73,24.02,24.35,7.46094346134,4596700,0.0000,1.0,6.7711,6.9043,60.7720,88.4379,75.9210,-0.0371,0.1084,0.0713,13.8825,233.8866,55.0000,100.0000,6.1774,6.7711,7.3648,-515286468.3820,79262225.0000
2004-03-25,23.34,24.54,23.3,24.42,7.48239175877,8309400,0.0000,1.0,6.7389,6.8457,61.2451,75.4150,67.0059,-0.0642,0.0910,0.0268,13.2575,251.9846,60.0000,100.0000,6.2353,6.7389,7.2425,-514315335.0719,93052318.0000
2004-03-24,22.05,23.45,22.0,23.08,7.07181006521,6561200,0.0000,1.0,6.7118,6.7787,54.8545,63.9103,66.6293,-0.0869,0.0544,-0.0326,12.6978,126.6082,65.0000,100.0000,6.3269,6.7118,7.0967,-534418711.6850,68124131.0000
2004-03-23,22.3,22.54,21.84,22.09,6.76846985877,4800300,0.0000,1.0,6.7029,6.7479,48.9456,61.6926,73.0340,-0.1005,0.0345,-0.0661,12.7446,36.1379,70.0000,0.0000,6.3443,6.7029,7.0615,-544056883.3403,48440541.0000
2004-03-22,21.83,22.17,21.5,22.0,6.74089347637,4805900,0.0000,1.0,6.7072,6.7457,48.3619,74.2852,82.0316,-0.1091,0.0321,-0.0770,13.3682,-3.7214,75.0000,0.0000,6.3436,6.7072,7.0708,-539942342.7686,34039649.0000
2004-03-19,22.36,22.54,22.04,22.17,6.79298219868,3774700,0.0000,1.0,6.7271,6.7462,49.3748,83.1241,78.5830,-0.1172,0.0301,-0.0870,13.7119,30.3104,80.0000,0.0000,6.3175,6.7271,7.1367,-547043594.0532,48457341.0000
2004-03-18,22.06,22.7,22.0,22.43,6.8726473034,4400400,0.0000,1.0,6.7573,6.7413,50.9246,88.6854,65.8230,-0.1247,0.0208,-0.1039,14.3573,31.7769,85.0000,0.0000,6.2544,6.7573,7.2602,-541608028.9329,59781435.0000
2004-03-17,22.0,22.39,21.91,22.18,6.79604624117,4371600,0.0000,1.0,6.7744,6.7274,49.4760,63.9395,41.7520,-0.1299,-0.0020,-0.1320,15.0368,1.0280,90.0000,5.0000,6.2349,6.7744,7.3140,-544625444.4754,46580242.0000
2004-03-16,20.98,21.75,20.88,21.65,6.63365198924,4979200,0.0000,1.0,6.7956,6.7202,46.2826,44.8442,25.3995,-0.1294,-0.0287,-0.1581,15.6538,-71.8984,95.0000,10.0000,6.2223,6.7956,7.3689,-546264793.5998,33465449.0000
2004-03-15,21.09,21.2,20.6319,20.76,6.3609522077,3510200,0.0000,1.0,6.8248,6.7293,40.2587,16.4723,14.2280,-0.1222,-0.0504,-0.1726,15.7340,-129.6343,100.0000,15.0000,6.2283,6.8248,7.4214,-557768456.4046,18527857.0000
2004-03-12,21.01,21.5,20.85,21.24,6.50802624718,3149600,0.0000,1.0,6.8638,6.7681,42.7128,14.8821,13.0964,-0.1096,-0.0512,-0.1609,15.2572,-114.7158,95.0000,20.0000,6.2923,6.8638,7.4352,-551986917.4707,29058451.0000
2004-03-11,20.68,21.42,20.68,20.8,6.37320837765,4390600,0.0000,1.0,6.8987,6.7955,39.5013,11.3296,17.6095,-0.0968,-0.0617,-0.1585,14.8997,-147.8113,100.0000,0.0000,6.3331,6.8987,7.4643,-553876676.4707,19609656.0000
2004-03-10,21.27,21.64,20.81,20.96,6.42223305748,4014100,0.0000,1.0,6.9515,6.8399,40.2814,13.0775,28.4795,-0.0814,-0.0580,-0.1395,14.4406,-142.4604,100.0000,5.0000,6.3948,6.9515,7.5083,-544976816.3354,32781449.0000
2004-03-09,21.6,21.62,20.91,21.27,6.51721837465,3093600,0.0000,1.0,6.9894,6.8839,41.8008,28.4214,40.4654,-0.0669,-0.0512,-0.1181,14.0390,-149.1927,100.0000,10.0000,6.4809,6.9894,7.4979,-537287159.3596,44823742.0000
2004-03-08,22.19,22.5,21.25,21.42,6.56317901199,3876400,0.0000,1.0,7.0098,6.9225,42.5384,43.9397,44.0635,-0.0541,-0.0447,-0.0988,13.6779,-125.5854,100.0000,15.0000,6.5481,7.0098,7.4715,-537417874.7821,54104537.0000
