,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2016-04-05,109.51,110.73,109.42,109.81,25.5293684999,26578652,0.0000,1.0,24.6103,24.6866,64.3220,80.0714,72.6506,0.5480,0.0712,0.6192,27.4480,120.8509,15.0000,95.0000,23.2077,24.6103,26.0130,68895721109.8252,89688499598.0000
2016-04-04,110.42,112.19,110.27,111.12,25.8339261243,37356204,0.0000,1.0,24.5181,24.5979,68.4968,84.1750,83.9295,0.5302,0.0926,0.6228,26.9044,164.4990,20.0000,100.0000,23.1266,24.5181,25.9095,68938733890.1690,89794814206.0000
2016-04-01,108.78,110.0,108.2,109.99,25.5712161125,25873950,0.0000,1.0,24.4238,24.4678,66.7271,77.4836,83.6342,0.5071,0.0803,0.5873,25.9875,129.6636,25.0000,90.0000,23.1513,24.4238,25.6963,68955855483.6851,89645389390.0000
2016-03-31,109.72,109.9,108.88,108.99,25.3387293763,25888449,0.0000,1.0,24.3251,24.3516,65.0778,64.6445,84.9614,0.4870,0.0733,0.5603,25.4081,137.1823,0.0000,95.0000,23.1195,24.3251,25.5307,68853509636.9879,89541893590.0000
2016-03-30,108.65,110.42,108.6,109.56,25.4712468159,45601149,0.0000,1.0,24.2293,24.2477,66.8727,45.5046,63.8553,0.4687,0.0725,0.5412,24.5069,156.9630,0.0000,100.0000,23.0571,24.2293,25.4015,68934728300.4993,89645447386.0000
2016-03-29,104.89,107.79,104.88,107.68,25.0341717519,31190083,0.0000,1.0,24.1243,24.1189,63.7391,39.9265,45.1168,0.4506,0.0450,0.4956,23.5583,93.7818,0.0000,100.0000,23.0434,24.1243,25.2053,68924706069.9565,89463042790.0000
2016-03-28,106.0,106.19,105.06,105.19,24.4552797788,19411372,0.0000,1.0,23.9966,24.0226,58.8401,43.4779,27.5416,0.4393,0.0353,0.4746,23.0562,66.1336,0.0000,80.0000,22.7804,23.9966,25.2127,68809377790.5548,89338282458.0000
2016-03-24,105.47,106.25,104.89,105.67,24.5668734122,26132955,0.0000,1.0,23.9003,23.9770,60.3329,57.8007,47.1210,0.4305,0.0693,0.4998,22.8965,78.0805,0.0000,85.0000,22.5476,23.9003,25.2531,68869157945.0358,89415927946.0000
2016-03-23,106.48,107.07,105.9,106.13,24.6738173108,25703495,0.0000,1.0,23.7968,23.9150,61.7593,67.4761,55.7709,0.4132,0.1003,0.5134,22.7284,106.9493,0.0000,90.0000,22.3501,23.7968,25.2434,68853785618.5108,89520459766.0000
2016-03-22,105.25,107.29,105.21,106.72,24.8109844851,32444375,0.0000,1.0,23.6802,23.8351,63.5913,78.7426,70.5101,0.3881,0.1243,0.5124,22.1302,118.5107,5.0000,95.0000,22.1610,23.6802,25.1994,68916177008.0951,89623273746.0000
2016-03-21,105.93,107.65,105.1401,105.91,24.6226702288,35502678,0.0000,1.0,23.5403,23.7324,62.1260,85.1360,76.1472,0.3570,0.1327,0.4897,21.5005,126.0396,10.0000,100.0000,21.9500,23.5403,25.1306,68857527561.0145,89493496246.0000
2016-03-18,106.34,106.5,105.19,105.92,24.6249950962,44205171,0.0000,1.0,23.4354,23.6386,62.1554,89.5783,89.5705,0.3238,0.1490,0.4728,20.8377,126.7052,15.0000,100.0000,21.8677,23.4354,25.0030,68912416039.3605,89635506958.0000
2016-03-17,105.52,106.47,104.96,105.8,24.5970966879,34420705,0.0000,1.0,23.3205,23.5348,61.9505,87.7961,89.6904,0.2866,0.1575,0.4441,20.3691,133.6180,20.0000,100.0000,21.7820,23.3205,24.8590,68892169396.1704,89458686274.0000
2016-03-16,104.61,106.31,104.59,105.97,24.636619433,38303493,0.0000,1.0,23.2096,23.4230,62.4051,79.3365,89.4739,0.2472,0.1566,0.4038,19.8819,145.3729,25.0000,100.0000,21.7368,23.2096,24.6824,68876668681.3152,89596369094.0000
2016-03-15,103.96,105.18,103.85,104.58,24.3134628697,40067734,0.0000,1.0,23.1184,23.2952,60.1328,64.1219,84.2242,0.2081,0.1345,0.3426,19.4002,136.5707,30.0000,100.0000,21.7916,23.1184,24.4451,68784027674.9932,89443155122.0000
2016-03-14,101.91,102.91,101.78,102.52,23.8345401932,25076062,0.0000,1.0,23.0261,23.1881,56.4246,45.6670,64.3114,0.1744,0.1178,0.2922,19.1155,95.4200,0.0000,70.0000,21.7911,23.0261,24.2611,68768362094.7834,89282884186.0000
2016-03-11,102.24,102.28,101.5,102.26,23.7740936418,27408237,0.0000,1.0,22.9269,23.1200,55.9331,38.5127,43.8300,0.1450,0.1276,0.2726,19.3234,95.1008,0.0000,75.0000,21.6498,22.9269,24.2041,68737294407.3376,89182579938.0000
2016-03-10,101.41,102.24,100.15,101.17,23.5206830993,33513577,0.0000,1.0,22.8274,23.0512,53.8607,45.4246,28.8595,0.1131,0.1365,0.2496,19.6985,84.8108,5.0000,80.0000,21.5200,22.8274,24.1348,68633283661.7713,89072946990.0000
2016-03-09,101.31,101.58,100.27,101.12,23.5090587625,27201683,0.0000,1.0,22.7472,23.0017,53.7659,64.2254,42.8485,0.0790,0.1635,0.2425,20.1031,91.4601,10.0000,85.0000,21.4231,22.7472,24.0713,68636490702.6571,88938892682.0000
2016-03-08,100.78,101.76,100.4,101.03,23.4881349563,31182194,0.0000,1.0,22.6759,22.9483,53.6030,81.3874,64.5659,0.0381,0.1930,0.2311,20.6878,108.3428,15.0000,90.0000,21.3702,22.6759,23.9817,68604097858.8190,88830085950.0000
2016-03-07,102.39,102.83,100.96,101.87,23.6834238147,35915810,0.0000,1.0,22.6060,22.8915,55.3320,92.1104,85.2620,-0.0101,0.2254,0.2152,21.2663,153.2548,20.0000,95.0000,21.3322,22.6060,23.8797,68613269092.3415,88954814726.0000
2016-03-04,102.37,103.75,101.37,103.01,23.9484586939,46055100,0.0000,1.0,22.5147,22.8081,57.7329,92.9044,94.3345,-0.0665,0.2385,0.1720,21.7184,211.3214,25.0000,100.0000,21.3028,22.5147,23.7266,68617110355.4067,89098477966.0000
2016-03-03,100.58,101.7099,100.45,101.5,23.5974037223,36955742,0.0000,1.0,22.4402,22.6881,55.2918,88.3192,96.7349,-0.1261,0.2135,0.0874,22.0802,210.0316,30.0000,100.0000,21.4224,22.4402,23.4580,68547447178.9557,88914257566.0000
2016-03-02,100.51,100.89,99.64,100.75,23.4230386701,33169560,0.0000,1.0,22.3743,22.5924,54.0393,82.8574,87.6439,-0.1795,0.1934,0.0139,22.9097,221.8661,35.0000,100.0000,21.5049,22.3743,23.2438,68448878978.7455,88766434598.0000
2016-03-01,97.65,100.77,97.42,100.53,23.3718915882,50407147,0.0000,1.0,22.2956,22.5050,53.6776,78.3452,80.5790,-0.2279,0.1654,-0.0624,23.9786,216.6437,40.0000,100.0000,21.5429,22.2956,23.0483,68345920664.5399,88633756358.0000
2016-02-29,96.86,98.23,96.65,96.69,22.4791425213,35216277,0.0000,1.0,22.2419,22.4137,46.7270,68.0662,80.3492,-0.2692,0.1155,-0.1537,25.1323,107.8079,45.0000,65.0000,21.6732,22.2419,22.8106,68173182142.8890,88432127770.0000
2016-02-26,97.2,98.0237,96.58,96.91,22.5302896032,28991131,0.0000,1.0,22.2434,22.4068,47.1118,53.0802,74.1075,-0.2981,0.1210,-0.1771,25.9152,119.8509,0.0000,70.0000,21.6721,22.2434,22.8147,68306914840.3175,88572992878.0000
2016-02-25,96.05,96.76,95.25,96.76,22.4954165928,27582659,0.0000,1.0,22.2048,22.3938,46.8282,40.3547,49.7418,-0.3283,0.1187,-0.2096,26.6825,64.3611,5.0000,75.0000,21.6122,22.2048,22.7974,68369865174.5233,88457028354.0000
2016-02-24,93.98,96.38,93.32,96.1,22.3419753469,36255745,0.0000,1.0,22.1601,22.3831,45.6091,41.8655,35.3911,-0.3580,0.1135,-0.2445,27.1358,-0.1253,10.0000,0.0000,21.5286,22.1601,22.7917,68259534538.5233,88346697718.0000
2016-02-23,96.4,96.5,94.55,94.69,22.0141690489,31942633,0.0000,1.0,22.1991,22.3875,42.9548,53.1999,35.9313,-0.3864,0.1166,-0.2698,27.5037,-12.7328,15.0000,0.0000,21.4434,22.1991,22.9549,68141051711.7139,88201674738.0000
2016-02-22,96.31,96.9,95.92,96.88,22.5233150011,34280758,0.0000,1.0,22.2482,22.4268,46.2879,69.1920,54.2740,-0.4155,0.1507,-0.2648,28.1312,45.2584,20.0000,5.0000,21.4228,22.2482,23.0735,68250475705.7680,88329445270.0000
2016-02-19,96.0,96.7599,95.8,96.04,22.3280261427,35374173,0.0000,1.0,22.2946,22.4166,44.7250,76.7344,69.3944,-0.4532,0.1467,-0.3065,29.0775,16.0163,25.0000,10.0000,21.3212,22.2946,23.2681,68118949532.3079,88192322238.0000
2016-02-18,98.84,98.89,96.091,96.26,22.3791732247,39020983,0.0000,1.0,22.2916,22.4259,45.0512,71.1517,83.9077,-0.4899,0.1546,-0.3352,30.0372,56.7334,30.0000,15.0000,21.3183,22.2916,23.2650,68189690508.0075,88333818930.0000
2016-02-17,96.67,98.21,96.15,98.12,22.811598554,44863243,0.0000,1.0,22.2918,22.4308,47.8541,53.3537,76.9010,-0.5285,0.1562,-0.3723,31.1064,82.4199,35.0000,20.0000,21.3184,22.2918,23.2652,68326926148.1197,88489902862.0000
2016-02-16,95.02,96.85,94.61,96.64,22.4675181844,49057916,0.0000,1.0,22.2688,22.3908,45.2806,38.8046,52.6465,-0.5676,0.1093,-0.4583,32.0661,16.7035,40.0000,25.0000,21.3243,22.2688,23.2133,68163153532.8553,88310449890.0000
