,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2016-08-22,96.47,96.63,94.75,95.65,95.65,16222875,0.0000,1.0,89.0685,90.6674,70.7080,62.5974,48.1531,4.1173,0.7115,3.4058,23.6051,78.4360,75.0000,20.0000,101.2450,89.0685,76.8920,-16039144.5168,463047641.0000
2016-08-19,96.91,97.24,96.34,96.86,96.86,14265029,0.0000,1.0,88.4455,90.1429,74.7684,73.9226,63.9241,4.2078,0.9799,3.2279,22.8763,103.1633,80.0000,25.0000,100.4855,88.4455,76.4055,-15348809.4105,479270516.0000
2016-08-18,97.25,97.94,96.62,97.0,97.0,15009049,0.0000,1.0,87.8270,89.4359,75.2433,82.6310,75.7151,4.1389,1.1560,2.9829,21.5427,126.1833,85.0000,30.0000,99.3335,87.8270,76.3205,-17567813.9216,493535545.0000
2016-08-17,96.17,97.25,96.05,97.0,97.0,14975164,0.0000,1.0,87.1860,88.6397,75.2433,87.9649,82.1286,3.9764,1.2825,2.6939,20.0355,147.6370,90.0000,35.0000,97.9836,87.1860,76.3884,-11200338.5882,493535545.0000
2016-08-16,96.15,97.15,95.05,96.66,96.66,27513961,0.0000,1.0,86.5570,87.7596,74.8938,91.3964,90.0492,3.7113,1.3380,2.3733,18.5330,176.3438,95.0000,40.0000,96.4197,86.5570,76.6943,-19935850.9216,478560381.0000
2016-08-15,98.28,98.86,96.82,97.17,97.17,33813431,0.0000,1.0,85.8625,86.8228,76.4315,90.5053,91.7169,3.3535,1.3147,2.0388,16.9634,262.6241,100.0000,0.0000,94.6828,85.8625,77.0422,-34609963.4549,506074342.0000
2016-08-12,92.98,98.35,92.91,98.25,98.25,71944156,0.0000,1.0,85.1365,85.7336,79.7246,89.9951,92.4232,2.7961,1.0860,1.7101,14.6822,368.4422,100.0000,5.0000,92.3602,85.1365,77.9128,-12399180.3471,539887773.0000
2016-08-11,92.14,92.8,91.26,91.77,91.77,54169169,0.0000,1.0,84.2865,84.4161,73.1242,88.1630,87.3759,1.9341,0.4955,1.4386,12.3280,394.0846,100.0000,10.0000,88.5197,84.2865,80.0533,-81698330.6118,467943617.0000
2016-08-10,86.01,87.73,86.01,87.33,87.33,28195881,0.0000,1.0,83.7850,83.6420,65.8979,88.9329,90.1862,1.4654,0.1507,1.3147,10.4993,231.1491,100.0000,0.0000,86.4327,83.7850,81.1373,-63407442.3780,413774448.0000
2016-08-09,85.05,85.63,84.8,85.24,85.24,15349237,0.0000,1.0,83.4470,83.2537,61.2371,84.7779,86.9270,1.2980,0.0210,1.2771,9.5725,131.3506,100.0000,5.0000,85.9182,83.4470,80.9758,-78488960.1222,385578567.0000
2016-08-08,84.99,85.02,84.3,85.0,85.0,11523723,0.0000,1.0,83.2720,83.0447,60.6504,80.0039,89.6855,1.2783,0.0065,1.2718,9.2181,112.5997,95.0000,0.0000,85.7060,83.2720,80.8380,-79413612.9535,370229330.0000
2016-08-05,85.01,85.08,84.44,84.59,84.59,9401657,0.0000,1.0,83.0950,82.8388,59.6595,73.3623,77.7211,1.2589,-0.0113,1.2702,9.0540,114.3046,100.0000,0.0000,85.5154,83.0950,80.6746,-90297129.1202,358705607.0000
2016-08-04,83.75,84.98,83.69,84.75,84.75,10731563,0.0000,1.0,82.8150,82.6545,60.2218,66.0849,72.6053,1.2577,-0.0154,1.2730,8.8194,102.1977,50.0000,5.0000,85.7250,82.8150,79.9050,-85302498.8389,368107264.0000
2016-08-03,83.3,83.84,83.17,83.67,83.67,5363908,0.0000,1.0,82.5450,82.4339,57.6634,57.4547,69.7607,1.2215,-0.0554,1.2769,8.6050,57.6574,55.0000,0.0000,85.6801,82.5450,79.4099,-92207302.9397,357375701.0000
2016-08-02,84.34,84.34,82.91,83.8,83.8,7691627,0.0000,1.0,82.2935,82.3038,58.0906,42.7298,55.8889,1.2675,-0.0233,1.2907,8.7638,68.3011,60.0000,5.0000,85.8110,82.2935,78.7760,-94849227.7755,362739609.0000
2016-08-01,82.79,84.8,82.59,84.34,84.34,13398393,0.0000,1.0,82.0520,82.1463,59.8402,35.0954,46.7146,1.2945,-0.0020,1.2965,8.9309,83.7870,65.0000,10.0000,85.7795,82.0520,78.3245,-96731793.8245,370431236.0000
2016-07-29,83.37,83.42,81.945,82.48,82.48,8709259,0.0000,1.0,81.8175,81.9154,55.4496,30.6517,25.5860,1.2552,-0.0419,1.2971,9.1068,36.3069,70.0000,15.0000,85.5298,81.8175,78.1052,-104552575.2589,357032843.0000
2016-07-28,83.46,83.49,82.1201,83.12,83.12,7476531,0.0000,1.0,81.6700,81.8560,57.5047,40.7961,32.9857,1.3761,0.0686,1.3075,9.4066,52.9172,75.0000,0.0000,85.4979,81.6700,77.8421,-102161219.3978,365742102.0000
2016-07-27,83.6,83.64,83.0,83.1,83.1,11609494,0.0000,1.0,81.4160,81.7229,57.4579,52.9583,33.3834,1.4453,0.1550,1.2904,9.7812,70.2855,80.0000,0.0000,85.4915,81.4160,77.3405,-105599037.3969,358265571.0000
2016-07-26,82.86,83.63,82.63,83.59,83.59,7713394,0.0000,1.0,81.0750,81.5779,58.9697,71.0464,56.0191,1.5147,0.2631,1.2516,10.1143,77.6674,85.0000,0.0000,85.6415,81.0750,76.5085,-97617510.2719,369875065.0000
2016-07-25,84.47,84.79,82.61,83.19,83.19,13183171,0.0000,1.0,80.6070,81.3662,58.1150,79.7982,69.4723,1.5312,0.3454,1.1859,10.4682,89.9453,90.0000,5.0000,85.9063,80.6070,75.3077,-104713832.7519,362161671.0000
2016-07-22,84.0,84.5,83.81,84.49,84.49,5988370,0.0000,1.0,80.2620,81.1742,62.1094,85.1182,87.6478,1.5709,0.4713,1.0995,10.8407,119.6985,95.0000,10.0000,85.7392,80.2620,74.7848,-98545560.0822,375344842.0000
2016-07-21,84.71,85.0,83.66,84.18,84.18,10178249,0.0000,1.0,79.9945,80.8251,61.5101,80.1629,82.2745,1.4662,0.4845,0.9817,10.8311,138.3021,100.0000,15.0000,85.1316,79.9945,74.8574,-104360354.1401,369356472.0000
2016-07-20,83.27,84.7,83.23,84.42,84.42,13981097,0.0000,1.0,79.7220,80.4720,62.2341,77.5842,85.4322,1.3428,0.4823,0.8605,10.8210,157.9592,100.0000,20.0000,84.5084,79.7220,74.9356,-102081641.6775,379534721.0000
2016-07-19,82.48,83.69,82.05,82.77,82.77,9793568,0.0000,1.0,79.4320,80.0564,59.0892,69.9186,72.7819,1.1414,0.4015,0.7400,10.8897,139.6931,100.0000,25.0000,83.7217,79.4320,75.1423,-110736606.4870,365553624.0000
2016-07-18,80.6,82.79,80.6,82.65,82.65,12107666,0.0000,1.0,79.2010,79.7708,58.8524,69.0095,74.5385,1.0358,0.3962,0.6396,11.2348,129.6095,80.0000,30.0000,83.2369,79.2010,75.1651,-109542268.9260,355760056.0000
2016-07-15,81.78,82.49,80.965,81.25,81.25,8918328,0.0000,1.0,78.9185,79.4677,56.0325,68.8498,62.4355,0.8981,0.3575,0.5405,11.7976,126.8837,85.0000,35.0000,82.7341,78.9185,75.1029,-120101922.8347,343652390.0000
2016-07-14,81.18,82.24,80.86,81.74,81.74,9357742,0.0000,1.0,78.7695,79.2801,57.3391,72.8073,70.0545,0.8518,0.4006,0.4512,12.3422,147.7093,90.0000,40.0000,82.4392,78.7695,75.0998,-114517002.6773,352570718.0000
2016-07-13,81.83,81.88,80.37,80.57,80.57,10733263,0.0000,1.0,78.6020,79.0211,54.9565,73.3794,74.0593,0.7304,0.3794,0.3510,12.9839,132.9194,95.0000,45.0000,82.0106,78.6020,75.1934,-117093772.2135,343212976.0000
2016-07-12,81.79,82.88,81.51,81.74,81.74,15293831,0.0000,1.0,78.4620,78.8581,58.0357,68.8014,74.3082,0.6840,0.4278,0.2562,13.5785,216.4823,100.0000,50.0000,81.7642,78.4620,75.1598,-109203757.6904,353946239.0000
2016-07-11,79.33,81.9,79.24,81.46,81.46,17415215,0.0000,1.0,78.1475,78.5547,57.4942,66.4727,71.7706,0.4957,0.3465,0.1492,14.0788,166.9873,100.0000,55.0000,81.3372,78.1475,74.9578,-99045081.6247,338652408.0000
2016-07-08,78.44,79.35,77.8,78.99,78.99,14029075,0.0000,1.0,77.8705,78.2489,52.3409,67.6132,60.3255,0.2766,0.2140,0.0626,14.7805,54.4819,80.0000,60.0000,80.8141,77.8705,74.9269,-110698872.1134,321237193.0000
2016-07-07,79.0,79.4899,78.71,79.35,79.35,6819170,0.0000,1.0,77.7990,78.1709,53.2346,77.1466,67.3220,0.2445,0.2354,0.0091,14.7673,88.5906,85.0000,65.0000,80.6995,77.7990,74.8985,-118211215.5005,335266268.0000
2016-07-06,78.47,78.82,77.68,78.64,78.64,7737637,0.0000,1.0,77.7135,78.0468,51.6892,84.4239,75.1920,0.1633,0.2130,-0.0498,14.9792,45.4813,90.0000,70.0000,80.5256,77.7135,74.9014,-122583913.1758,328447098.0000
2016-07-05,79.04,79.55,78.37,78.97,78.97,6843922,0.0000,1.0,77.6735,77.9844,52.4546,84.0004,88.9258,0.1295,0.2326,-0.1030,14.9889,87.6180,95.0000,75.0000,80.4543,77.6735,74.8927,-127878085.8600,336184735.0000
