,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2008-10-09,95.29,95.31,88.23,89.0,60.6075959101,21293600,0.0000,1.0,75.2065,73.3061,25.7096,4.1191,7.7474,-1.7700,-4.6149,-2.8449,21.0577,-183.6035,30.0000,100.0000,75.2065,62.2890,88.1241,-74954727.1606,96573700.0000
2008-10-08,91.51,97.48,89.98,90.55,61.6631214568,17980400,0.0000,1.0,76.2348,74.6427,26.4954,9.5709,9.9152,-1.6037,-4.0061,-2.4024,19.4720,-216.4385,35.0000,100.0000,76.2348,64.9597,87.5099,-58292785.9180,117867300.0000
2008-10-07,101.5,102.62,94.24,95.65,65.1361409977,11416100,0.0000,1.0,77.1708,76.0090,29.2944,9.5523,9.9289,-1.2768,-3.2783,-2.0015,17.9071,-222.1014,40.0000,100.0000,77.1708,67.9731,86.3686,-43045406.7179,135847700.0000
2008-10-06,101.21,103.0,96.6,100.62,68.5206325896,11521400,0.0000,1.0,77.8310,77.1535,32.4699,10.6224,16.1222,-0.9730,-2.6553,-1.6823,16.5368,-259.6050,45.0000,100.0000,77.8310,70.4716,85.1905,-35471001.4672,147263800.0000
2008-10-03,105.16,110.95,103.03,103.44,70.4410081004,9637900,0.0000,1.0,78.3986,78.0623,34.4849,9.6120,25.0697,-0.7270,-2.1660,-1.4390,15.2643,-232.0393,50.0000,100.0000,78.3986,72.3679,84.4294,-38423360.2172,158785200.0000
2008-10-02,108.48,109.97,103.04,104.74,71.3262875913,11458200,0.0000,1.0,78.7694,78.8645,35.4484,28.1321,39.9703,-0.4483,-1.7056,-1.2573,14.4723,-296.5374,55.0000,100.0000,78.7694,73.9514,83.5875,-29783323.6010,168423100.0000
2008-10-01,115.51,116.8,107.75,110.13,74.996792557,13134400,0.0000,1.0,79.1188,79.6580,39.8314,37.4648,48.9560,-0.0380,-1.1832,-1.1452,13.4598,-188.3002,60.0000,100.0000,79.1188,75.7002,82.5374,-23946751.3066,179881300.0000
2008-09-30,115.83,116.96,111.81,116.96,79.647914805,18991900,0.0000,1.0,79.3983,80.1487,46.7969,54.3141,55.3155,0.2627,-0.8730,-1.1357,12.8651,-60.2901,65.0000,95.0000,79.3983,76.4987,82.2979,-17720610.3120,193015700.0000
2008-09-29,117.44,118.43,109.95,114.46,77.9454542457,9586700,0.0000,1.0,79.4477,80.2014,43.3522,55.0891,52.5267,0.2634,-0.9380,-1.2014,12.7315,-105.5330,70.0000,100.0000,79.4477,76.4996,82.3958,-36712510.3120,174023800.0000
2008-09-26,117.21,121.01,117.01,119.42,81.3231359953,4760500,0.0000,1.0,79.6952,80.4388,49.3780,56.5433,47.3989,0.4334,-0.8339,-1.2672,12.5909,69.6299,0.0000,65.0000,79.6952,76.4744,82.9160,-37322984.1327,183610500.0000
