,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2004-09-02,87.58,89.87,87.58,89.55,18.4953976332,10495600,0.0000,1.0,16.7956,17.1893,66.7006,86.5194,93.5136,0.2156,0.4617,0.2461,21.8145,128.9286,100.0000,5.0000,16.7956,18.7612,14.8300,2008655365.1330,2225660500.0000
2004-09-01,86.39,87.75,85.84,87.63,18.0988463942,9816200,0.0000,1.0,16.6328,17.0518,63.7149,83.0778,85.3291,0.2080,0.4002,0.1922,21.3745,114.1129,100.0000,10.0000,16.6328,18.5468,14.7188,1993530701.3799,2204669300.0000
2004-08-31,85.26,86.57,85.2,86.54,17.8737209512,7173700,0.0000,1.0,16.5107,16.9416,61.8711,85.3113,80.7153,0.2161,0.3563,0.1402,21.3288,113.8653,90.0000,15.0000,16.5107,18.3450,14.6763,1976365199.8053,2185036900.0000
2004-08-30,85.38,86.35,85.05,85.51,17.6609877344,5764600,0.0000,1.0,16.4130,16.8435,60.0487,91.0945,83.1889,0.2319,0.3180,0.0862,21.5424,122.8699,95.0000,20.0000,16.4130,18.1522,14.6737,1962646153.0890,2170689500.0000
2004-08-27,86.4,86.87,85.56,85.91,17.7436025759,6386200,0.0000,1.0,16.3473,16.7574,61.1266,94.5943,92.0297,0.2580,0.2862,0.0282,21.8171,153.0724,100.0000,25.0000,16.3473,17.9896,14.7050,1966016226.9350,2182218700.0000
2004-08-26,85.44,86.48,85.14,86.41,17.8468711277,9387200,0.0000,1.0,16.2690,16.6536,62.4579,94.2645,98.0649,0.2693,0.2330,-0.0363,21.9479,183.0948,100.0000,30.0000,16.2690,17.7818,14.7563,1971963680.3685,2194991100.0000
2004-08-25,83.79,86.0,82.93,85.66,17.6919682999,10094400,0.0000,1.0,16.1974,16.5280,61.2554,89.3658,93.6884,0.2548,0.1512,-0.1036,22.1668,185.0999,100.0000,35.0000,16.1974,17.5293,14.8654,1955150784.8513,2176216700.0000
2004-08-24,82.85,83.88,82.51,83.87,17.3222668844,9971800,0.0000,1.0,16.1264,16.4055,58.2214,87.2539,91.0403,0.2276,0.0603,-0.1673,22.4965,175.0739,100.0000,40.0000,16.1264,17.2702,14.9826,1939433771.1736,2156027900.0000
2004-08-23,81.8,83.01,81.62,82.35,17.0083304868,8234900,0.0000,1.0,16.0705,16.3090,55.4041,86.7038,83.3687,0.2053,-0.0189,-0.2242,23.3142,168.3102,100.0000,45.0000,16.0705,17.0761,15.0650,1919781318.6137,2136084300.0000
2004-08-20,79.39,81.92,79.15,81.37,16.8059241252,9335400,0.0000,1.0,15.9871,16.2354,53.4828,90.2182,87.3526,0.1878,-0.0878,-0.2755,24.3867,132.0749,100.0000,50.0000,15.9871,16.9432,15.0310,1918951904.2228,2119614500.0000
2004-08-19,79.76,80.74,78.72,79.68,16.45687642,9174100,0.0000,1.0,15.9214,16.1754,49.9503,90.9454,89.3900,0.1687,-0.1538,-0.3225,25.5474,104.5164,100.0000,0.0000,15.9214,16.8224,15.0204,1907695501.3343,2100943700.0000
2004-08-18,78.69,80.0,78.324,79.91,16.5043799539,9624300,0.0000,1.0,15.8978,16.1457,50.4456,90.3924,93.9121,0.1644,-0.2002,-0.3647,26.4509,103.1064,0.0000,5.0000,15.8978,16.7655,15.0300,1908603828.0685,2119291900.0000
2004-08-17,78.96,79.94,78.74,79.57,16.4341573386,8720300,0.0000,1.0,15.8636,16.1080,49.7458,88.3701,89.5340,0.1443,-0.2614,-0.4058,27.1936,110.7994,5.0000,10.0000,15.8636,16.6857,15.0415,1891422500.1418,2100043300.0000
2004-08-16,77.6,79.29,77.56,78.72,16.2586008005,7230700,0.0000,1.0,15.8675,16.0736,48.0018,85.0887,87.7311,0.1132,-0.3286,-0.4419,28.0671,73.0321,10.0000,15.0000,15.8675,16.7012,15.0339,1884736936.8146,2082602700.0000
2004-08-13,77.87,77.91,76.17,77.36,15.9777103395,8368400,0.0000,1.0,15.8653,16.0542,45.1063,73.2519,87.8453,0.0784,-0.3918,-0.4702,28.8096,16.1673,0.0000,20.0000,15.8653,16.6949,15.0356,1879805014.2732,2068141300.0000
2004-08-12,75.79,78.178,75.78,77.51,16.0086909051,12483000,0.0000,1.0,15.8962,16.0622,45.3710,53.1758,79.6896,0.0517,-0.4380,-0.4898,29.1992,6.7195,0.0000,25.0000,15.8962,16.7845,15.0079,1873648949.9062,2084878100.0000
2004-08-11,74.71,76.77,74.25,76.38,15.7753039779,10806000,0.0000,1.0,15.9577,16.0678,42.9759,29.2915,52.2208,0.0089,-0.4938,-0.5027,29.6093,-46.8758,0.0000,30.0000,15.9577,17.0213,14.8940,1862592281.0102,2059912100.0000
