,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2005-01-25,12.681,13.12,11.29,11.33,1.61856981,9550200,0.0000,1.0,1.6349,1.6225,47.2700,42.5678,35.5971,-0.0282,-0.0282,0.0001,10.2009,58.8400,60.0000,100.0000,1.4738,1.7959,1.6349,-575224833.5476,-203902833.0000
2005-01-24,11.01,11.36,10.84,11.14,1.59142698,3101700,0.0000,1.0,1.6368,1.6229,45.2544,51.5139,44.4151,-0.0282,-0.0318,-0.0036,9.4771,-54.9375,65.0000,20.0000,1.4757,1.7979,1.6368,-511295836.0066,-270754299.0000
2005-01-21,11.01,11.24,10.99,11.04,1.57714128,633600,0.0000,1.0,1.6396,1.6262,44.1877,59.5397,47.6911,-0.0273,-0.0333,-0.0059,9.6556,-63.0819,70.0000,25.0000,1.4798,1.7994,1.6396,-514636131.5451,-292466220.0000
2005-01-20,11.12,11.231,10.92,11.09,1.58428413,1093400,0.0000,1.0,1.6443,1.6314,44.6005,63.1208,62.4356,-0.0259,-0.0332,-0.0073,10.0067,-69.9613,75.0000,0.0000,1.4866,1.8020,1.6443,-511975009.1451,-288031016.0000
2005-01-19,11.36,11.36,10.92,11.07,1.58142699,1750200,0.0000,1.0,1.6551,1.6363,44.4031,54.7057,68.4925,-0.0240,-0.0333,-0.0093,10.3660,-69.8386,80.0000,0.0000,1.4862,1.8240,1.6551,-512688708.1901,-295684823.0000
2005-01-18,11.44,11.47,10.94,11.3,1.6142841,1483800,0.0000,1.0,1.6667,1.6421,46.2013,37.0755,58.4344,-0.0217,-0.0327,-0.0110,10.7443,-59.1940,85.0000,0.0000,1.4879,1.8455,1.6667,-508790531.6446,-283433411.0000
2005-01-14,11.14,11.44,10.78,11.33,1.61856981,2071800,0.0000,1.0,1.6787,1.6451,46.4343,22.9256,37.1901,-0.0190,-0.0348,-0.0158,11.1618,-69.1351,90.0000,0.0000,1.4841,1.8734,1.6787,-512514033.3427,-273046801.0000
2005-01-13,10.95,11.05,10.74,10.86,1.55142702,1369400,0.0000,1.0,1.6932,1.6478,42.0873,14.6703,15.6020,-0.0150,-0.0374,-0.0224,11.5719,-104.8402,95.0000,5.0000,1.4767,1.9098,1.6932,-522182442.6761,-287549415.0000
2005-01-12,11.19,11.3,10.53,10.75,1.53571275,1778000,0.0000,1.0,1.7072,1.6580,41.0231,13.7078,15.9847,-0.0094,-0.0333,-0.0239,11.6115,-116.0931,100.0000,10.0000,1.4930,1.9214,1.7072,-520017905.1599,-297135224.0000
2005-01-11,11.4,11.44,11.01,11.01,1.57285557,1120300,0.0000,1.0,1.7204,1.6709,42.7886,10.0997,12.4241,-0.0034,-0.0261,-0.0226,11.6532,-98.3870,90.0000,15.0000,1.5179,1.9229,1.7204,-514683900.0171,-284689212.0000
