,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD_Signal,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2018-12-31,31.99,32.4,31.46,31.73,31.73,21392110,0.0000,1.0,33.9925,33.4138,39.5705,64.3338,81.1879,-0.0790,-1.7685,-1.8475,33.9826,-63.2109,10.0000,85.0000,33.9925,28.2405,39.7445,-1014370652.8487,1335189871.0000
2018-12-28,32.0,32.2785,31.4,31.57,31.57,29852928,0.0000,1.0,34.3015,33.5910,39.0633,43.1174,69.4805,-0.1890,-1.7487,-1.9378,33.6399,-74.3157,15.0000,90.0000,34.3015,28.4066,40.1964,-1005267627.3168,1313797761.0000
2018-12-27,30.41,32.01,30.23,31.93,31.93,39858341,0.0000,1.0,34.6585,33.8038,39.7769,21.4680,42.3329,-0.3070,-1.7015,-2.0085,33.2223,-92.8753,20.0000,95.0000,34.6585,28.6059,40.7111,-986968479.0778,1343650689.0000
2018-12-26,29.34,30.91,28.39,30.89,30.89,45711046,0.0000,1.0,34.9120,34.0010,36.5982,9.1353,17.5387,-0.4815,-1.6247,-2.1062,32.6605,-143.9991,25.0000,100.0000,34.9120,28.9133,40.9107,-1023244047.8531,1303792348.0000
2018-12-24,29.86,30.35,29.0,29.02,29.02,23771773,0.0000,1.0,35.1960,34.3285,30.3154,6.4934,4.5323,-0.5901,-1.5043,-2.0944,31.5529,-190.4981,30.0000,100.0000,35.1960,29.4535,40.9385,-1068229521.6943,1258081302.0000
2018-12-21,31.68,32.05,30.11,30.32,30.32,54630508,0.0000,1.0,35.5650,34.8873,32.4384,8.2039,5.3350,-0.5017,-1.3568,-1.8585,30.4777,-183.3378,35.0000,100.0000,35.5650,30.5557,40.5743,-1045162097.5240,1281853075.0000
2018-12-20,31.6,32.9,30.86,31.28,31.28,60427566,0.0000,1.0,35.8680,35.3681,34.1143,9.9518,9.6130,-0.4313,-1.2314,-1.6627,29.5199,-189.5192,40.0000,100.0000,35.8680,31.4683,40.2677,-1002358812.9054,1336483583.0000
2018-12-19,31.66,33.58,31.27,31.41,31.41,106669582,0.0000,1.0,36.1100,35.7984,34.3426,10.1530,9.6636,-0.3627,-1.1236,-1.4863,28.6365,-208.9390,45.0000,100.0000,36.1100,32.2466,39.9734,-966813185.8466,1396911149.0000
2018-12-18,34.39,34.935,33.97,34.11,34.11,46135371,0.0000,1.0,36.3810,36.2603,39.5661,14.5948,10.5787,-0.2199,-1.0329,-1.2528,27.7762,-124.2578,50.0000,95.0000,36.3810,33.1689,39.5931,-873073250.1496,1503580731.0000
2018-12-17,34.16,35.22,33.6,33.88,33.88,30890958,0.0000,1.0,36.6475,36.4867,38.8130,19.5364,10.2167,-0.2336,-0.9779,-1.2115,27.3971,-143.4675,55.0000,100.0000,36.6475,33.3500,39.9450,-840324308.0408,1457445360.0000
2018-12-14,34.44,35.45,34.06,34.2,34.2,28922077,0.0000,1.0,36.9490,36.7611,39.4630,23.3621,22.9889,-0.1982,-0.9195,-1.1177,26.9981,-134.8766,60.0000,20.0000,36.9490,33.6163,40.2817,-820111705.8927,1488336318.0000
2018-12-13,36.29,36.37,34.76,35.02,35.02,23825359,0.0000,1.0,37.1405,37.0306,41.1403,18.0308,25.4036,-0.1444,-0.8699,-1.0144,26.6765,-102.9821,65.0000,25.0000,37.1405,34.0288,40.2522,-797015658.7919,1517258395.0000
2018-12-12,35.94,36.61,35.4,36.03,36.03,26642500,0.0000,1.0,37.2820,37.2423,43.2934,16.0027,21.6939,-0.1173,-0.8338,-0.9512,26.4908,-77.1207,70.0000,30.0000,37.2820,34.3149,40.2491,-780885446.7982,1541083754.0000
