,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Signal,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2012-05-14,225.6,227.29,222.51,222.93,222.93,3096600,0.0000,1.0,212.5670,215.7915,62.6914,62.5202,57.4899,8.8174,8.4947,0.3227,23.8511,46.3467,0.0000,50.0000,212.5670,177.2116,247.9224,1406213583.2066,740816153.0000
2012-05-11,225.95,230.68,225.73,227.68,227.68,4193600,0.0000,1.0,210.6955,215.0401,67.5945,61.0056,47.7616,9.3526,8.4140,0.9386,23.6070,65.0889,5.0000,55.0000,210.6955,173.8032,247.5878,1408766010.8217,743912753.0000
2012-05-10,223.91,229.08,221.95,226.69,226.69,4648400,0.0000,1.0,208.7345,213.7096,67.0848,48.9439,35.7999,9.4162,8.1794,1.2368,22.9859,63.7712,10.0000,60.0000,208.7345,171.4941,245.9749,1409655562.3368,739719153.0000
2012-05-09,220.59,225.78,220.16,222.98,222.98,3712000,0.0000,1.0,206.9345,212.3432,65.1323,33.3353,30.9688,9.4611,7.8702,1.5910,22.4208,60.0495,15.0000,65.0000,206.9345,169.8598,244.0092,1408123480.9904,735070753.0000
2012-05-08,223.15,225.39,218.2,223.9,223.9,4522400,0.0000,1.0,205.1840,211.2236,66.0554,25.1204,38.4887,9.7586,7.4724,2.2862,22.0138,65.5373,20.0000,70.0000,205.1840,167.9991,242.3689,1408110271.0260,738782753.0000
2012-05-07,222.36,226.8675,222.29,225.16,225.16,3314300,0.0000,1.0,203.3380,209.8892,67.2963,34.4508,57.8905,9.9027,6.9009,3.0018,21.6078,82.9964,25.0000,75.0000,203.3380,166.3880,240.2880,1405462245.4349,743305153.0000
2012-05-04,227.8,229.7199,223.74,223.99,223.99,4585200,0.0000,1.0,201.6735,208.2818,66.7452,55.8950,77.3080,9.8142,6.1504,3.6638,20.7399,100.1123,30.0000,80.0000,201.6735,165.8227,237.5243,1404620547.1826,739990853.0000
2012-05-03,229.74,232.53,228.03,229.45,229.45,4055500,0.0000,1.0,200.1935,206.6283,72.1342,83.3257,90.0812,9.6777,5.2345,4.4432,19.6648,137.9404,35.0000,85.0000,200.1935,165.7330,234.6540,1408822362.8450,744576053.0000
2012-05-02,227.82,231.44,227.4,230.25,230.25,4593400,0.0000,1.0,198.4205,204.2260,72.9541,92.7034,94.3315,8.8068,4.1237,4.6831,18.0385,171.8274,40.0000,90.0000,198.4205,166.6170,230.2240,1410318391.7339,748631553.0000
2012-05-01,229.4,232.97,228.4,230.04,230.04,6754900,0.0000,1.0,196.8910,201.4866,72.8772,94.2146,95.4568,7.4856,2.9529,4.5327,16.3691,229.1777,45.0000,95.0000,196.8910,168.6105,225.1715,1408431004.6052,744038153.0000
2012-04-30,223.95,233.84,223.05,231.9,231.9,9756900,0.0000,1.0,195.2915,198.4810,74.6630,96.0766,91.3651,5.7118,1.8197,3.8921,14.4979,317.6645,50.0000,100.0000,195.2915,171.4158,219.1672,1410337748.8065,750793053.0000
2012-04-27,224.83,228.69,220.22,226.85,226.85,22116900,0.0000,1.0,193.8220,194.9632,72.9536,96.0794,79.2759,3.1754,0.8467,2.3287,12.5283,385.6649,55.0000,100.0000,193.8220,176.3922,211.2518,1404089354.0892,741036153.0000
2012-04-26,193.57,196.36,193.02,195.99,195.99,10234000,0.0000,1.0,192.7100,191.6067,55.5401,81.9393,62.9818,0.4059,0.2645,0.1414,10.6371,37.3699,60.0000,0.0000,192.7100,182.5141,202.9059,1391581685.7303,718919253.0000
2012-04-25,191.67,194.8,191.6,194.42,194.42,3955100,0.0000,1.0,192.9685,191.1453,54.1122,59.8091,53.0711,0.0073,0.2292,-0.2219,10.6855,5.6559,65.0000,0.0000,192.9685,182.2066,203.7304,1383615098.9039,708685253.0000
2012-04-24,188.68,190.7,186.51,190.33,190.33,3376300,0.0000,1.0,193.5195,190.8006,50.1499,47.1970,55.5943,-0.3418,0.2847,-0.6265,10.9061,-58.7873,70.0000,5.0000,193.5195,181.4658,205.5732,1380599335.1539,704730153.0000
2012-04-23,188.99,188.99,185.51,188.24,188.24,3481000,0.0000,1.0,194.1465,190.8501,47.9689,52.2070,61.9858,-0.3659,0.4413,-0.8072,11.3405,-83.6322,75.0000,10.0000,194.1465,181.5302,206.7628,1377819326.8007,701353853.0000
2012-04-20,192.34,193.48,189.8,189.98,189.98,3243600,0.0000,1.0,194.4865,191.1248,49.6883,67.3788,61.1957,-0.1786,0.6431,-0.8217,11.5799,-47.3315,80.0000,15.0000,194.4865,182.1621,206.8109,1375838757.8352,704834853.0000
