,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2015-10-21,211.99,214.81,208.8,210.09,42.018,4183471,0.0000,1.0,46.6919,45.9828,35.4417,50.1190,66.5272,-1.4578,-1.8206,-0.3628,23.0328,-108.8576,95.0000,10.0000,40.5568,46.6919,52.8270,356191009.4760,1262779690.0000
2015-10-20,227.72,228.6,202.0,213.03,42.606,14900047,0.0000,1.0,47.2016,46.4001,36.5215,68.2230,70.7436,-1.3671,-1.6839,-0.3168,22.0212,-103.1822,100.0000,15.0000,41.0108,47.2016,53.3924,368128867.6540,1283697045.0000
2015-10-19,226.5,231.15,224.94,228.1,45.62,2507895,0.0000,1.0,47.6807,46.7995,42.8840,81.2395,63.2027,-1.2880,-1.5448,-0.2568,20.9563,-49.9194,80.0000,0.0000,41.5036,47.6807,53.8578,380844321.2969,1358197280.0000
2015-10-16,223.04,230.4805,222.87,227.01,45.402,4334493,0.0000,1.0,48.0417,46.9237,42.1920,62.7683,42.9039,-1.2237,-1.6516,-0.4279,20.6888,-62.8010,85.0000,5.0000,41.5525,48.0417,54.5309,380622204.9926,1345657805.0000
2015-10-15,216.43,221.73,213.7,221.31,44.262,2844233,0.0000,1.0,48.3778,47.0839,38.4898,45.6002,26.3232,-1.1168,-1.7418,-0.6250,20.3552,-107.3798,90.0000,10.0000,41.7750,48.3778,54.9806,378715665.9587,1323985340.0000
2015-10-14,220.67,220.95,215.43,216.88,43.376,3104446,0.0000,1.0,48.7854,47.3809,35.4369,20.3431,14.1766,-0.9605,-1.7154,-0.7549,19.2824,-127.2698,95.0000,15.0000,42.2430,48.7854,55.3278,365982144.6199,1309764175.0000
2015-10-13,213.28,222.522,211.13,219.25,43.85,5171535,0.0000,1.0,49.2391,47.8025,36.3539,13.0263,11.8478,-0.7718,-1.5666,-0.7948,18.2176,-148.3313,100.0000,20.0000,43.0091,49.2391,55.4691,373349579.8735,1325286405.0000
2015-10-12,222.99,223.0,215.27,215.58,43.116,3836303,0.0000,1.0,49.5823,48.2185,33.8351,9.1602,15.2887,-0.5731,-1.4022,-0.8291,17.0967,-176.2003,100.0000,25.0000,43.8405,49.5823,55.3241,362345541.2148,1299428730.0000
2015-10-09,220.93,224.37,218.36,220.69,44.138,6158370,0.0000,1.0,49.9584,48.7556,35.7042,13.3569,24.2077,-0.3658,-1.0972,-0.7314,16.0659,-194.1022,100.0000,30.0000,45.0326,49.9584,54.8842,379988564.7142,1318610245.0000
2015-10-08,230.08,230.72,221.31,226.72,45.344,6133216,0.0000,1.0,50.2539,49.2417,38.0611,23.3491,35.8543,-0.1830,-0.7960,-0.6130,15.0951,-199.0777,100.0000,35.0000,46.1138,50.2539,54.3940,386905203.2333,1349402095.0000
2015-10-07,236.63,237.7,229.12,231.96,46.392,6813959,0.0000,1.0,50.4715,49.6520,40.2549,35.9172,41.0430,-0.0297,-0.5227,-0.4930,14.1839,-179.1941,100.0000,40.0000,46.9798,50.4715,53.9632,382310179.5564,1380068175.0000
2015-10-06,240.0,243.03,235.58,241.46,48.292,5235897,0.0000,1.0,50.6410,49.9951,44.6915,48.2966,38.4865,0.0935,-0.2731,-0.3666,13.5374,-135.8140,90.0000,45.0000,47.6672,50.6410,53.6148,393825611.4328,1414137970.0000
2015-10-05,248.84,249.84,244.13,246.15,49.23,3689865,0.0000,1.0,50.7081,50.1744,47.1275,38.9153,26.7706,0.1852,-0.1439,-0.3291,13.1439,-72.7821,95.0000,50.0000,47.8930,50.7081,53.5232,378680164.4060,1440317455.0000
2015-10-02,235.6,247.7,234.93,247.57,49.514,4423982,0.0000,1.0,50.6659,50.2738,47.8782,28.2478,18.1519,0.2674,-0.0724,-0.3399,13.1574,-102.5536,100.0000,55.0000,47.7403,50.6659,53.5915,384076026.5338,1458766780.0000
2015-10-01,247.51,248.5,237.13,239.88,47.976,4572964,0.0000,1.0,50.6459,50.3538,43.2259,13.1488,11.1307,0.3524,-0.0091,-0.3615,13.0226,-124.6007,100.0000,60.0000,47.6839,50.6459,53.6079,362406482.7515,1436646870.0000
2015-09-30,252.0,252.4,242.34,248.4,49.68,4879816,0.0000,1.0,50.7240,50.6041,47.7079,13.0592,13.6834,0.4428,0.2285,-0.2143,12.9921,-63.8072,0.0000,65.0000,47.9728,50.7240,53.4752,374210923.6838,1459511690.0000
2015-09-29,250.46,254.73,245.46,246.65,49.33,3703154,0.0000,1.0,50.6263,50.7013,46.6280,7.1840,18.9760,0.4963,0.3549,-0.1415,13.2321,-43.9944,5.0000,70.0000,47.6079,50.6263,53.6447,369214690.6023,1435112610.0000
2015-09-28,257.35,259.79,246.61,248.43,49.686,4881802,0.0000,1.0,50.6504,50.8457,47.5774,20.8071,30.2365,0.5317,0.5467,0.0150,13.6546,-16.3008,10.0000,75.0000,47.6663,50.6504,53.6345,382976681.4653,1453628380.0000
2015-09-25,266.61,266.91,256.15,256.91,51.382,3773392,0.0000,1.0,50.6509,50.9678,52.4066,28.9368,39.1991,0.5280,0.7473,0.2194,14.1617,73.4093,0.0000,80.0000,47.6675,50.6509,53.6343,400644508.1269,1478037390.0000
2015-09-24,259.53,263.45,256.21,263.12,52.624,3448191,0.0000,1.0,50.5117,50.9242,56.3884,40.9655,49.4681,0.4731,0.8198,0.3467,14.5667,91.9833,0.0000,85.0000,47.4199,50.5117,53.6035,416846247.0117,1496904350.0000
2015-09-23,261.95,262.08,257.5838,261.06,52.212,2600778,0.0000,1.0,50.1289,50.7452,55.3186,47.6951,60.2120,0.3864,0.7740,0.3876,15.1856,94.6959,5.0000,90.0000,46.3570,50.1289,53.9008,401176981.2796,1479663395.0000
2015-09-22,259.03,262.65,255.87,260.94,52.188,3664353,0.0000,1.0,49.7186,50.5908,55.2578,59.7436,72.0375,0.2896,0.7462,0.4567,15.7561,98.9298,0.0000,95.0000,45.2259,49.7186,54.2113,394073170.3686,1466659505.0000
2015-09-21,263.98,271.57,255.8,264.2,52.84,6120155,0.0000,1.0,49.2979,50.4227,57.2670,73.1973,82.0762,0.1754,0.7023,0.5270,16.3566,127.9713,5.0000,100.0000,44.2656,49.2979,54.3302,384993357.6253,1484981270.0000
2015-09-18,257.96,263.82,257.5,260.62,52.124,3763064,0.0000,1.0,48.9636,50.1683,55.5821,83.1716,88.3105,0.0436,0.5697,0.5261,16.9887,115.3660,10.0000,95.0000,44.0296,48.9636,53.8976,382994702.0609,1454380495.0000
2015-09-17,263.96,265.5,260.69,262.07,52.414,3585812,0.0000,1.0,48.7792,49.9624,56.4384,89.8597,88.8298,-0.0879,0.4651,0.5530,17.7185,143.2647,15.0000,100.0000,44.0604,48.7792,53.4980,383232870.6685,1473195815.0000
