,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2018-10-30,62.36,63.72,62.17,63.18,58.5402667295,18865333,0.0000,1.0,61.4149,60.9933,38.6906,26.0944,20.0823,-1.4909,-0.3285,-1.8194,30.2808,-83.5841,90.0000,0.0000,55.3105,67.5194,61.4149,1685895291.4981,-6437597.0000
2018-10-29,63.5,63.69,61.27,62.17,57.6044378375,14778286,0.0000,1.0,61.8861,61.2515,35.0113,19.4983,23.0725,-1.4088,-0.4311,-1.8399,29.7254,-100.1285,95.0000,5.0000,55.3058,68.4664,61.8861,1680174835.6856,-25302930.0000
2018-10-26,61.5,63.64,61.18,62.48,57.891672448,17049442,0.0000,1.0,62.3693,61.6354,35.6349,14.6542,34.5700,-1.3010,-0.4430,-1.7440,29.1250,-104.6051,100.0000,10.0000,55.6989,69.0396,62.3693,1683961008.1324,-10524644.0000
2018-10-25,63.81,63.83,62.35,63.2,58.5587979947,20385717,0.0000,1.0,62.8117,62.0295,37.0925,35.0650,53.1498,-1.1903,-0.4353,-1.6256,28.4677,-98.3442,100.0000,15.0000,56.2146,69.4088,62.8117,1682990714.6847,6524798.0000
2018-10-24,65.87,66.39,62.5,62.62,58.0213913043,23384304,0.0000,1.0,63.2060,62.3949,35.0596,53.9908,61.8600,-1.0814,-0.4372,-1.5186,28.0268,-92.7827,100.0000,20.0000,56.7313,69.6806,63.2060,1679960405.4021,-13860919.0000
2018-10-23,63.66,66.92,63.57,66.38,61.5052691597,13441036,0.0000,1.0,63.6294,62.8552,43.7709,70.3935,64.3393,-0.9722,-0.3332,-1.3054,27.5961,-65.6641,65.0000,25.0000,57.4662,69.7926,63.6294,1701901975.9925,9523385.0000
2018-10-22,65.69,66.6,65.22,66.12,61.2643627122,12890414,0.0000,1.0,63.9241,62.9973,42.8379,61.1958,60.6162,-0.8888,-0.4800,-1.3689,27.3880,-65.6427,70.0000,30.0000,57.6331,70.2150,63.9241,1692794169.5082,-3917651.0000
2018-10-19,65.45,66.21,65.0,65.36,60.5601746351,10673025,0.0000,1.0,64.2697,63.1798,40.0767,61.4286,55.0053,-0.7688,-0.6367,-1.4055,27.6009,-83.2214,75.0000,0.0000,57.8431,70.6962,64.2697,1688871000.0295,-16808065.0000
2018-10-18,65.68,66.32,64.87,65.15,60.3655963506,12218743,0.0000,1.0,64.6560,63.4555,39.3071,59.2242,42.2244,-0.6097,-0.7504,-1.3601,27.6454,-96.7461,80.0000,0.0000,58.2389,71.0732,64.6560,1693193134.1203,-27481090.0000
2018-10-17,66.38,66.61,65.29,66.1,61.245831447,14779126,0.0000,1.0,65.0938,63.7808,41.6033,44.3629,25.9788,-0.4221,-0.8405,-1.2626,27.6922,-100.3083,85.0000,0.0000,58.7126,71.4751,65.0938,1700692914.3070,-15262347.0000
2018-10-16,64.78,66.39,64.62,66.12,61.2643627122,15931414,0.0000,1.0,65.4626,64.0476,41.6520,23.0861,13.5876,-0.2120,-0.9974,-1.2093,27.8480,-124.4615,90.0000,0.0000,59.1616,71.7637,65.4626,1697334022.0344,-483221.0000
