,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2013-07-03,24.22,24.71,24.15,24.52,24.52,10404400,0.0000,1.0,24.1173,24.3952,48.3280,52.1773,69.3565,-0.0779,0.1498,-0.2276,12.8103,58.1317,50.0000,5.0000,24.1173,23.1699,25.0648,-1384473570.6211,283621900.0000
2013-07-02,24.7,24.77,24.3,24.41,24.41,18394100,0.0000,1.0,24.0363,24.3821,47.5176,69.8757,78.4712,-0.0962,0.1689,-0.2651,13.1397,67.6586,55.0000,10.0000,24.0363,22.9705,25.1021,-1387817842.0497,273217500.0000
2013-07-01,24.9694,25.0601,24.62,24.81,24.81,20582200,0.0000,1.0,23.9918,24.3792,50.2396,86.0165,76.6105,-0.1070,0.2003,-0.3073,13.6010,124.8613,60.0000,15.0000,23.9918,22.9179,25.0657,-1378033746.3050,291611600.0000
2013-06-28,24.68,24.98,24.42,24.88,24.88,96778900,0.0000,1.0,23.9437,24.3338,50.7227,79.5214,63.0352,-0.1600,0.1974,-0.3574,14.2976,131.1177,65.0000,20.0000,23.9437,22.9366,24.9508,-1375223043.6920,312193800.0000
2013-06-27,24.24,24.84,24.21,24.66,24.66,34694100,0.0000,1.0,23.9171,24.2763,49.2662,64.2935,51.6250,-0.2323,0.1744,-0.4067,15.0068,104.3286,70.0000,25.0000,23.9171,22.9850,24.8492,-1437438050.8348,215414900.0000
2013-06-26,24.51,24.65,23.99,24.16,24.16,29890300,0.0000,1.0,23.9116,24.2360,45.8079,45.2907,43.6345,-0.2989,0.1514,-0.4503,15.6460,55.0731,75.0000,30.0000,23.9116,22.9959,24.8273,-1452306950.8348,180720800.0000
2013-06-25,24.14,24.43,24.04,24.25,24.25,24713200,0.0000,1.0,23.8696,24.2439,46.3481,45.2907,44.6105,-0.3287,0.1595,-0.4882,16.1742,55.6491,80.0000,35.0000,23.8696,22.9267,24.8125,-1437814684.1682,210611100.0000
2013-06-24,23.95,24.11,23.38,23.935,23.935,40626000,0.0000,1.0,23.8621,24.2433,44.1583,40.3222,46.6188,-0.3711,0.1570,-0.5280,16.5616,-15.9814,85.0000,40.0000,23.8621,22.9291,24.7951,-1439715699.5528,185897900.0000
2013-06-21,24.59,24.7,24.05,24.53,24.53,45833900,0.0000,1.0,23.8810,24.2758,47.6481,48.2186,54.3663,-0.3877,0.1796,-0.5673,16.7191,79.0846,0.0000,45.0000,23.8810,22.9278,24.8342,-1460863480.3747,226523900.0000
2013-06-20,24.28,24.745,23.65,23.9,23.9,42765600,0.0000,1.0,23.9075,24.2490,43.1271,51.3155,56.5105,-0.4638,0.1484,-0.6122,17.3181,19.2475,0.0000,50.0000,23.9075,22.8589,24.9561,-1482722724.9901,180690000.0000
